unique_name,game,move_name,learn_method,level
dodrio,SV,Swords Dance,Level up,34
dodrio,SV,Drill Peck,Level up,38
dodrio,SV,Endeavor,Level up,43
dodrio,SV,Thrash,Level up,50
dodrio,SV,Assurance,Egg,
dodrio,SV,Flail,Egg,
dodrio,SV,Sky Attack,Egg,
dodrio,SV,Whirlwind,Egg,
dodrio,SV,Acrobatics,TM,
dodrio,SV,Aerial Ace,TM,
dodrio,SV,Agility,TM,
dodrio,SV,Baton Pass,TM,
dodrio,SV,Body Slam,TM,
dodrio,SV,Brave Bird,TM,
dodrio,SV,Double-Edge,TM,
dodrio,SV,Drill Run,TM,
dodrio,SV,Endeavor,TM,
dodrio,SV,Endure,TM,
dodrio,SV,Facade,TM,
dodrio,SV,Feather Dance,TM,
dodrio,SV,Fly,TM,
dodrio,SV,Giga Impact,TM,
dodrio,SV,Helping Hand,TM,
dodrio,SV,Hyper Beam,TM,
dodrio,SV,Knock Off,TM,
dodrio,SV,Low Kick,TM,
dodrio,SV,Lunge,TM,
dodrio,SV,Mud-Slap,TM,
dodrio,SV,Pounce,TM,
dodrio,SV,Protect,TM,
dodrio,SV,Rain Dance,TM,
dodrio,SV,Rest,TM,
dodrio,SV,Scary Face,TM,
dodrio,SV,Sleep Talk,TM,
dodrio,SV,Stomping Tantrum,TM,
dodrio,SV,Substitute,TM,
dodrio,SV,Sunny Day,TM,
dodrio,SV,Swift,TM,
dodrio,SV,Swords Dance,TM,
dodrio,SV,Tailwind,TM,
dodrio,SV,Take Down,TM,
dodrio,SV,Taunt,TM,
dodrio,SV,Tera Blast,TM,
dodrio,SV,Thief,TM,
dodrio,SV,Throat Chop,TM,
dodrio,SV,Trailblaze,TM,
dodrio,SV,Uproar,TM,
rhyhorn,SV,Tackle,Level up,1
rhyhorn,SV,Tail Whip,Level up,1
rhyhorn,SV,Smack Down,Level up,5
rhyhorn,SV,Bulldoze,Level up,10
rhyhorn,SV,Horn Attack,Level up,15
rhyhorn,SV,Scary Face,Level up,20
rhyhorn,SV,Stomp,Level up,25
rhyhorn,SV,Rock Blast,Level up,30
rhyhorn,SV,Drill Run,Level up,35
rhyhorn,SV,Take Down,Level up,40
rhyhorn,SV,Earthquake,Level up,45
rhyhorn,SV,Stone Edge,Level up,50
rhyhorn,SV,Megahorn,Level up,55
rhyhorn,SV,Horn Drill,Level up,60
rhyhorn,SV,Counter,Egg,
rhyhorn,SV,Curse,Egg,
rhyhorn,SV,Dragon Rush,Egg,
rhyhorn,SV,Guard Split,Egg,
rhyhorn,SV,Metal Burst,Egg,
rhyhorn,SV,Rock Polish,Egg,
rhyhorn,SV,Blizzard,TM,
rhyhorn,SV,Body Press,TM,
rhyhorn,SV,Body Slam,TM,
rhyhorn,SV,Bulldoze,TM,
rhyhorn,SV,Crunch,TM,
rhyhorn,SV,Curse,TM,
rhyhorn,SV,Dig,TM,
rhyhorn,SV,Double-Edge,TM,
rhyhorn,SV,Dragon Pulse,TM,
rhyhorn,SV,Drill Run,TM,
rhyhorn,SV,Earth Power,TM,
rhyhorn,SV,Earthquake,TM,
rhyhorn,SV,Endeavor,TM,
rhyhorn,SV,Endure,TM,
rhyhorn,SV,Facade,TM,
rhyhorn,SV,Fire Blast,TM,
rhyhorn,SV,Fire Fang,TM,
rhyhorn,SV,Flamethrower,TM,
rhyhorn,SV,Heavy Slam,TM,
rhyhorn,SV,High Horsepower,TM,
rhyhorn,SV,Ice Beam,TM,
rhyhorn,SV,Ice Fang,TM,
rhyhorn,SV,Icy Wind,TM,
rhyhorn,SV,Mud Shot,TM,
rhyhorn,SV,Mud-Slap,TM,
rhyhorn,SV,Poison Jab,TM,
rhyhorn,SV,Protect,TM,
rhyhorn,SV,Rain Dance,TM,
rhyhorn,SV,Rest,TM,
rhyhorn,SV,Reversal,TM,
rhyhorn,SV,Roar,TM,
rhyhorn,SV,Rock Blast,TM,
rhyhorn,SV,Rock Slide,TM,
rhyhorn,SV,Rock Tomb,TM,
rhyhorn,SV,Sandstorm,TM,
rhyhorn,SV,Scary Face,TM,
rhyhorn,SV,Scorching Sands,TM,
rhyhorn,SV,Sleep Talk,TM,
rhyhorn,SV,Smack Down,TM,
rhyhorn,SV,Smart Strike,TM,
rhyhorn,SV,Stealth Rock,TM,
rhyhorn,SV,Stomping Tantrum,TM,
rhyhorn,SV,Stone Edge,TM,
rhyhorn,SV,Substitute,TM,
rhyhorn,SV,Sunny Day,TM,
rhyhorn,SV,Supercell Slam,TM,
rhyhorn,SV,Swords Dance,TM,
rhyhorn,SV,Take Down,TM,
rhyhorn,SV,Tera Blast,TM,
rhyhorn,SV,Thief,TM,
rhyhorn,SV,Thunder,TM,
rhyhorn,SV,Thunder Fang,TM,
rhyhorn,SV,Thunderbolt,TM,
rhyhorn,SV,Uproar,TM,
rhydon,SV,Hammer Arm,Evolution,
rhydon,SV,Tackle,Level up,1
rhydon,SV,Tail Whip,Level up,1
rhydon,SV,Smack Down,Level up,1
rhydon,SV,Bulldoze,Level up,1
rhydon,SV,Horn Attack,Level up,15
rhydon,SV,Scary Face,Level up,20
rhydon,SV,Stomp,Level up,25
rhydon,SV,Rock Blast,Level up,30
rhydon,SV,Drill Run,Level up,35
rhydon,SV,Take Down,Level up,40
rhydon,SV,Earthquake,Level up,47
rhydon,SV,Stone Edge,Level up,54
rhydon,SV,Megahorn,Level up,61
rhydon,SV,Horn Drill,Level up,68
rhydon,SV,Counter,Egg,
rhydon,SV,Curse,Egg,
rhydon,SV,Dragon Rush,Egg,
rhydon,SV,Guard Split,Egg,
rhydon,SV,Metal Burst,Egg,
rhydon,SV,Rock Polish,Egg,
rhydon,SV,Avalanche,TM,
rhydon,SV,Blizzard,TM,
rhydon,SV,Body Press,TM,
rhydon,SV,Body Slam,TM,
rhydon,SV,Breaking Swipe,TM,
rhydon,SV,Brick Break,TM,
rhydon,SV,Bulldoze,TM,
rhydon,SV,Crunch,TM,
rhydon,SV,Curse,TM,
rhydon,SV,Dig,TM,
rhydon,SV,Double-Edge,TM,
rhydon,SV,Dragon Pulse,TM,
rhydon,SV,Drill Run,TM,
rhydon,SV,Earth Power,TM,
rhydon,SV,Earthquake,TM,
rhydon,SV,Endeavor,TM,
rhydon,SV,Endure,TM,
rhydon,SV,Facade,TM,
rhydon,SV,Fire Blast,TM,
rhydon,SV,Fire Fang,TM,
rhydon,SV,Fire Punch,TM,
rhydon,SV,Flamethrower,TM,
rhydon,SV,Fling,TM,
rhydon,SV,Focus Blast,TM,
rhydon,SV,Focus Punch,TM,
rhydon,SV,Giga Impact,TM,
rhydon,SV,Heat Crash,TM,
rhydon,SV,Heavy Slam,TM,
rhydon,SV,Helping Hand,TM,
rhydon,SV,High Horsepower,TM,
rhydon,SV,Hydro Pump,TM,
rhydon,SV,Hyper Beam,TM,
rhydon,SV,Ice Beam,TM,
rhydon,SV,Ice Fang,TM,
rhydon,SV,Ice Punch,TM,
rhydon,SV,Icy Wind,TM,
rhydon,SV,Iron Defense,TM,
rhydon,SV,Meteor Beam,TM,
rhydon,SV,Mud Shot,TM,
rhydon,SV,Mud-Slap,TM,
rhydon,SV,Outrage,TM,
rhydon,SV,Poison Jab,TM,
rhydon,SV,Protect,TM,
rhydon,SV,Rain Dance,TM,
rhydon,SV,Rest,TM,
rhydon,SV,Reversal,TM,
rhydon,SV,Roar,TM,
rhydon,SV,Rock Blast,TM,
rhydon,SV,Rock Slide,TM,
rhydon,SV,Rock Tomb,TM,
rhydon,SV,Sandstorm,TM,
rhydon,SV,Scary Face,TM,
rhydon,SV,Scorching Sands,TM,
rhydon,SV,Shadow Claw,TM,
rhydon,SV,Sleep Talk,TM,
rhydon,SV,Smack Down,TM,
rhydon,SV,Smart Strike,TM,
rhydon,SV,Stealth Rock,TM,
rhydon,SV,Stomping Tantrum,TM,
rhydon,SV,Stone Edge,TM,
rhydon,SV,Substitute,TM,
rhydon,SV,Sunny Day,TM,
rhydon,SV,Supercell Slam,TM,
rhydon,SV,Surf,TM,
rhydon,SV,Swords Dance,TM,
rhydon,SV,Take Down,TM,
rhydon,SV,Tera Blast,TM,
rhydon,SV,Thief,TM,
rhydon,SV,Thunder,TM,
rhydon,SV,Thunder Fang,TM,
rhydon,SV,Thunder Punch,TM,
rhydon,SV,Thunderbolt,TM,
rhydon,SV,Uproar,TM,
rhyperior,SV,Tackle,Level up,1
rhyperior,SV,Tail Whip,Level up,1
rhyperior,SV,Hammer Arm,Level up,1
rhyperior,SV,Smack Down,Level up,1
rhyperior,SV,Bulldoze,Level up,1
rhyperior,SV,Horn Attack,Level up,15
rhyperior,SV,Scary Face,Level up,20
rhyperior,SV,Stomp,Level up,25
rhyperior,SV,Rock Blast,Level up,30
rhyperior,SV,Drill Run,Level up,35
rhyperior,SV,Take Down,Level up,40
rhyperior,SV,Earthquake,Level up,47
rhyperior,SV,Stone Edge,Level up,54
rhyperior,SV,Megahorn,Level up,61
rhyperior,SV,Horn Drill,Level up,68
rhyperior,SV,Rock Wrecker,Level up,75
rhyperior,SV,Counter,Egg,
rhyperior,SV,Curse,Egg,
rhyperior,SV,Dragon Rush,Egg,
rhyperior,SV,Guard Split,Egg,
rhyperior,SV,Metal Burst,Egg,
rhyperior,SV,Rock Polish,Egg,
rhyperior,SV,Avalanche,TM,
rhyperior,SV,Blizzard,TM,
rhyperior,SV,Body Press,TM,
rhyperior,SV,Body Slam,TM,
rhyperior,SV,Breaking Swipe,TM,
rhyperior,SV,Brick Break,TM,
rhyperior,SV,Bulldoze,TM,
rhyperior,SV,Crunch,TM,
rhyperior,SV,Curse,TM,
rhyperior,SV,Dig,TM,
rhyperior,SV,Double-Edge,TM,
rhyperior,SV,Dragon Pulse,TM,
rhyperior,SV,Dragon Tail,TM,
rhyperior,SV,Drill Run,TM,
rhyperior,SV,Earth Power,TM,
rhyperior,SV,Earthquake,TM,
rhyperior,SV,Endeavor,TM,
rhyperior,SV,Endure,TM,
rhyperior,SV,Facade,TM,
rhyperior,SV,Fire Blast,TM,
rhyperior,SV,Fire Fang,TM,
rhyperior,SV,Fire Punch,TM,
rhyperior,SV,Flamethrower,TM,
rhyperior,SV,Flash Cannon,TM,
rhyperior,SV,Fling,TM,
rhyperior,SV,Focus Blast,TM,
rhyperior,SV,Focus Punch,TM,
rhyperior,SV,Giga Impact,TM,
rhyperior,SV,Heat Crash,TM,
rhyperior,SV,Heavy Slam,TM,
rhyperior,SV,Helping Hand,TM,
rhyperior,SV,High Horsepower,TM,
rhyperior,SV,Hydro Pump,TM,
rhyperior,SV,Hyper Beam,TM,
rhyperior,SV,Ice Beam,TM,
rhyperior,SV,Ice Fang,TM,
rhyperior,SV,Ice Punch,TM,
rhyperior,SV,Icy Wind,TM,
rhyperior,SV,Iron Defense,TM,
rhyperior,SV,Iron Head,TM,
rhyperior,SV,Metal Claw,TM,
rhyperior,SV,Meteor Beam,TM,
rhyperior,SV,Mud Shot,TM,
rhyperior,SV,Mud-Slap,TM,
rhyperior,SV,Outrage,TM,
rhyperior,SV,Poison Jab,TM,
rhyperior,SV,Protect,TM,
rhyperior,SV,Rain Dance,TM,
rhyperior,SV,Rest,TM,
rhyperior,SV,Reversal,TM,
rhyperior,SV,Roar,TM,
rhyperior,SV,Rock Blast,TM,
rhyperior,SV,Rock Slide,TM,
rhyperior,SV,Rock Tomb,TM,
rhyperior,SV,Sandstorm,TM,
rhyperior,SV,Scary Face,TM,
rhyperior,SV,Scorching Sands,TM,
rhyperior,SV,Shadow Claw,TM,
rhyperior,SV,Sleep Talk,TM,
rhyperior,SV,Smack Down,TM,
rhyperior,SV,Smart Strike,TM,
rhyperior,SV,Stealth Rock,TM,
rhyperior,SV,Stomping Tantrum,TM,
rhyperior,SV,Stone Edge,TM,
rhyperior,SV,Substitute,TM,
rhyperior,SV,Sunny Day,TM,
rhyperior,SV,Supercell Slam,TM,
rhyperior,SV,Surf,TM,
rhyperior,SV,Swords Dance,TM,
rhyperior,SV,Take Down,TM,
rhyperior,SV,Temper Flare,TM,
rhyperior,SV,Tera Blast,TM,
rhyperior,SV,Thief,TM,
rhyperior,SV,Thunder,TM,
rhyperior,SV,Thunder Fang,TM,
rhyperior,SV,Thunder Punch,TM,
rhyperior,SV,Thunderbolt,TM,
rhyperior,SV,Uproar,TM,
elekid,SV,Leer,Level up,1
elekid,SV,Quick Attack,Level up,1
elekid,SV,Thunder Shock,Level up,4
elekid,SV,Charge,Level up,8
elekid,SV,Swift,Level up,12
elekid,SV,Shock Wave,Level up,16
elekid,SV,Thunder Wave,Level up,20
elekid,SV,Screech,Level up,24
elekid,SV,Thunder Punch,Level up,28
elekid,SV,Discharge,Level up,32
elekid,SV,Low Kick,Level up,36
elekid,SV,Thunderbolt,Level up,40
elekid,SV,Light Screen,Level up,44
elekid,SV,Thunder,Level up,48
elekid,SV,Cross Chop,Egg,
elekid,SV,Dynamic Punch,Egg,
elekid,SV,Feint,Egg,
elekid,SV,Focus Punch,Egg,
elekid,SV,Follow Me,Egg,
elekid,SV,Hammer Arm,Egg,
elekid,SV,Body Slam,TM,
elekid,SV,Brick Break,TM,
elekid,SV,Charge,TM,
elekid,SV,Charge Beam,TM,
elekid,SV,Double-Edge,TM,
elekid,SV,Eerie Impulse,TM,
elekid,SV,Electric Terrain,TM,
elekid,SV,Electro Ball,TM,
elekid,SV,Electroweb,TM,
elekid,SV,Endure,TM,
elekid,SV,Facade,TM,
elekid,SV,Fire Punch,TM,
elekid,SV,Fling,TM,
elekid,SV,Focus Blast,TM,
elekid,SV,Focus Punch,TM,
elekid,SV,Helping Hand,TM,
elekid,SV,Ice Punch,TM,
elekid,SV,Knock Off,TM,
elekid,SV,Light Screen,TM,
elekid,SV,Low Kick,TM,
elekid,SV,Metal Sound,TM,
elekid,SV,Protect,TM,
elekid,SV,Psychic,TM,
elekid,SV,Rain Dance,TM,
elekid,SV,Rest,TM,
elekid,SV,Sleep Talk,TM,
elekid,SV,Substitute,TM,
elekid,SV,Supercell Slam,TM,
elekid,SV,Swift,TM,
elekid,SV,Take Down,TM,
elekid,SV,Taunt,TM,
elekid,SV,Tera Blast,TM,
elekid,SV,Thief,TM,
elekid,SV,Thunder,TM,
elekid,SV,Thunder Punch,TM,
elekid,SV,Thunder Wave,TM,
elekid,SV,Thunderbolt,TM,
elekid,SV,Trailblaze,TM,
elekid,SV,Uproar,TM,
elekid,SV,Volt Switch,TM,
elekid,SV,Wild Charge,TM,
electabuzz,SV,Leer,Level up,1
electabuzz,SV,Thunder Shock,Level up,1
electabuzz,SV,Quick Attack,Level up,1
electabuzz,SV,Charge,Level up,1
electabuzz,SV,Swift,Level up,12
electabuzz,SV,Shock Wave,Level up,16
electabuzz,SV,Thunder Wave,Level up,20
electabuzz,SV,Screech,Level up,24
electabuzz,SV,Thunder Punch,Level up,28
electabuzz,SV,Discharge,Level up,34
electabuzz,SV,Low Kick,Level up,40
electabuzz,SV,Thunderbolt,Level up,46
electabuzz,SV,Light Screen,Level up,52
electabuzz,SV,Thunder,Level up,58
electabuzz,SV,Giga Impact,Level up,64
electabuzz,SV,Cross Chop,Egg,
electabuzz,SV,Dynamic Punch,Egg,
electabuzz,SV,Feint,Egg,
electabuzz,SV,Focus Punch,Egg,
electabuzz,SV,Follow Me,Egg,
electabuzz,SV,Hammer Arm,Egg,
electabuzz,SV,Body Slam,TM,
electabuzz,SV,Brick Break,TM,
electabuzz,SV,Bulk Up,TM,
electabuzz,SV,Charge,TM,
electabuzz,SV,Charge Beam,TM,
electabuzz,SV,Double-Edge,TM,
electabuzz,SV,Eerie Impulse,TM,
electabuzz,SV,Electric Terrain,TM,
electabuzz,SV,Electro Ball,TM,
electabuzz,SV,Electroweb,TM,
electabuzz,SV,Endure,TM,
electabuzz,SV,Facade,TM,
electabuzz,SV,Fire Punch,TM,
electabuzz,SV,Fling,TM,
electabuzz,SV,Focus Blast,TM,
electabuzz,SV,Focus Punch,TM,
electabuzz,SV,Giga Impact,TM,
electabuzz,SV,Helping Hand,TM,
electabuzz,SV,Hyper Beam,TM,
electabuzz,SV,Ice Punch,TM,
electabuzz,SV,Knock Off,TM,
electabuzz,SV,Light Screen,TM,
electabuzz,SV,Low Kick,TM,
electabuzz,SV,Low Sweep,TM,
electabuzz,SV,Metal Sound,TM,
electabuzz,SV,Metronome,TM,
electabuzz,SV,Protect,TM,
electabuzz,SV,Psychic,TM,
electabuzz,SV,Rain Dance,TM,
electabuzz,SV,Rest,TM,
electabuzz,SV,Sleep Talk,TM,
electabuzz,SV,Substitute,TM,
electabuzz,SV,Supercell Slam,TM,
electabuzz,SV,Swift,TM,
electabuzz,SV,Take Down,TM,
electabuzz,SV,Taunt,TM,
electabuzz,SV,Tera Blast,TM,
electabuzz,SV,Thief,TM,
electabuzz,SV,Thunder,TM,
electabuzz,SV,Thunder Punch,TM,
electabuzz,SV,Thunder Wave,TM,
electabuzz,SV,Thunderbolt,TM,
electabuzz,SV,Trailblaze,TM,
electabuzz,SV,Uproar,TM,
electabuzz,SV,Volt Switch,TM,
electabuzz,SV,Wild Charge,TM,
electivire,SV,Leer,Level up,1
electivire,SV,Thunder Shock,Level up,1
electivire,SV,Quick Attack,Level up,1
electivire,SV,Charge,Level up,1
electivire,SV,Swift,Level up,12
electivire,SV,Shock Wave,Level up,16
electivire,SV,Thunder Wave,Level up,20
electivire,SV,Screech,Level up,24
electivire,SV,Thunder Punch,Level up,28
electivire,SV,Discharge,Level up,34
electivire,SV,Low Kick,Level up,40
electivire,SV,Thunderbolt,Level up,46
electivire,SV,Light Screen,Level up,52
electivire,SV,Thunder,Level up,58
electivire,SV,Giga Impact,Level up,64
electivire,SV,Cross Chop,Egg,
electivire,SV,Dynamic Punch,Egg,
electivire,SV,Feint,Egg,
electivire,SV,Focus Punch,Egg,
electivire,SV,Follow Me,Egg,
electivire,SV,Hammer Arm,Egg,
electivire,SV,Body Slam,TM,
electivire,SV,Brick Break,TM,
electivire,SV,Bulk Up,TM,
electivire,SV,Bulldoze,TM,
electivire,SV,Charge,TM,
electivire,SV,Charge Beam,TM,
electivire,SV,Dig,TM,
electivire,SV,Double-Edge,TM,
electivire,SV,Earthquake,TM,
electivire,SV,Eerie Impulse,TM,
electivire,SV,Electric Terrain,TM,
electivire,SV,Electro Ball,TM,
electivire,SV,Electroweb,TM,
electivire,SV,Endure,TM,
electivire,SV,Facade,TM,
electivire,SV,Fire Punch,TM,
electivire,SV,Flamethrower,TM,
electivire,SV,Fling,TM,
electivire,SV,Focus Blast,TM,
electivire,SV,Focus Punch,TM,
electivire,SV,Giga Impact,TM,
electivire,SV,Helping Hand,TM,
electivire,SV,Hyper Beam,TM,
electivire,SV,Ice Punch,TM,
electivire,SV,Knock Off,TM,
electivire,SV,Light Screen,TM,
electivire,SV,Low Kick,TM,
electivire,SV,Low Sweep,TM,
electivire,SV,Metal Sound,TM,
electivire,SV,Metronome,TM,
electivire,SV,Protect,TM,
electivire,SV,Psychic,TM,
electivire,SV,Rain Dance,TM,
electivire,SV,Reflect,TM,
electivire,SV,Rest,TM,
electivire,SV,Rock Slide,TM,
electivire,SV,Rock Tomb,TM,
electivire,SV,Sleep Talk,TM,
electivire,SV,Stomping Tantrum,TM,
electivire,SV,Substitute,TM,
electivire,SV,Supercell Slam,TM,
electivire,SV,Swift,TM,
electivire,SV,Take Down,TM,
electivire,SV,Taunt,TM,
electivire,SV,Tera Blast,TM,
electivire,SV,Thief,TM,
electivire,SV,Thunder,TM,
electivire,SV,Thunder Punch,TM,
electivire,SV,Thunder Wave,TM,
electivire,SV,Thunderbolt,TM,
electivire,SV,Trailblaze,TM,
electivire,SV,Uproar,TM,
electivire,SV,Volt Switch,TM,
electivire,SV,Weather Ball,TM,
electivire,SV,Wild Charge,TM,
magby,SV,Leer,Level up,1
magby,SV,Smog,Level up,1
magby,SV,Ember,Level up,4
magby,SV,Smokescreen,Level up,8
magby,SV,Clear Smog,Level up,12
magby,SV,Flame Wheel,Level up,16
magby,SV,Confuse Ray,Level up,20
magby,SV,Scary Face,Level up,24
magby,SV,Fire Punch,Level up,28
magby,SV,Lava Plume,Level up,32
magby,SV,Low Kick,Level up,36
magby,SV,Flamethrower,Level up,40
magby,SV,Sunny Day,Level up,44
magby,SV,Fire Blast,Level up,48
magby,SV,Belch,Egg,
magby,SV,Belly Drum,Egg,
magby,SV,Cross Chop,Egg,
magby,SV,Dynamic Punch,Egg,
magby,SV,Focus Punch,Egg,
magby,SV,Follow Me,Egg,
magby,SV,Mach Punch,Egg,
magby,SV,Acid Spray,TM,
magby,SV,Body Slam,TM,
magby,SV,Brick Break,TM,
magby,SV,Burning Jealousy,TM,
magby,SV,Confuse Ray,TM,
magby,SV,Curse,TM,
magby,SV,Double-Edge,TM,
magby,SV,Endure,TM,
magby,SV,Facade,TM,
magby,SV,Fire Blast,TM,
magby,SV,Fire Punch,TM,
magby,SV,Fire Spin,TM,
magby,SV,Flame Charge,TM,
magby,SV,Flamethrower,TM,
magby,SV,Flare Blitz,TM,
magby,SV,Fling,TM,
magby,SV,Focus Punch,TM,
magby,SV,Heat Wave,TM,
magby,SV,Helping Hand,TM,
magby,SV,Low Kick,TM,
magby,SV,Overheat,TM,
magby,SV,Poison Jab,TM,
magby,SV,Protect,TM,
magby,SV,Psychic,TM,
magby,SV,Rest,TM,
magby,SV,Scary Face,TM,
magby,SV,Sleep Talk,TM,
magby,SV,Substitute,TM,
magby,SV,Sunny Day,TM,
magby,SV,Take Down,TM,
magby,SV,Temper Flare,TM,
magby,SV,Tera Blast,TM,
magby,SV,Thief,TM,
magby,SV,Thunder Punch,TM,
magby,SV,Will-O-Wisp,TM,
magmar,SV,Leer,Level up,1
magmar,SV,Ember,Level up,1
magmar,SV,Smokescreen,Level up,1
magmar,SV,Smog,Level up,1
magmar,SV,Clear Smog,Level up,12
magmar,SV,Flame Wheel,Level up,16
magmar,SV,Confuse Ray,Level up,20
magmar,SV,Scary Face,Level up,24
magmar,SV,Fire Punch,Level up,28
magmar,SV,Lava Plume,Level up,34
magmar,SV,Low Kick,Level up,40
magmar,SV,Flamethrower,Level up,46
magmar,SV,Sunny Day,Level up,52
magmar,SV,Fire Blast,Level up,58
magmar,SV,Hyper Beam,Level up,64
magmar,SV,Belch,Egg,
magmar,SV,Belly Drum,Egg,
magmar,SV,Cross Chop,Egg,
magmar,SV,Dynamic Punch,Egg,
magmar,SV,Focus Punch,Egg,
magmar,SV,Follow Me,Egg,
magmar,SV,Mach Punch,Egg,
magmar,SV,Acid Spray,TM,
magmar,SV,Body Slam,TM,
magmar,SV,Brick Break,TM,
magmar,SV,Burning Jealousy,TM,
magmar,SV,Confuse Ray,TM,
magmar,SV,Curse,TM,
magmar,SV,Double-Edge,TM,
magmar,SV,Endure,TM,
magmar,SV,Facade,TM,
magmar,SV,Fire Blast,TM,
magmar,SV,Fire Punch,TM,
magmar,SV,Fire Spin,TM,
magmar,SV,Flame Charge,TM,
magmar,SV,Flamethrower,TM,
magmar,SV,Flare Blitz,TM,
magmar,SV,Fling,TM,
magmar,SV,Focus Blast,TM,
magmar,SV,Focus Punch,TM,
magmar,SV,Giga Impact,TM,
magmar,SV,Heat Crash,TM,
magmar,SV,Heat Wave,TM,
magmar,SV,Helping Hand,TM,
magmar,SV,Hyper Beam,TM,
magmar,SV,Knock Off,TM,
magmar,SV,Low Kick,TM,
magmar,SV,Low Sweep,TM,
magmar,SV,Metronome,TM,
magmar,SV,Overheat,TM,
magmar,SV,Poison Jab,TM,
magmar,SV,Protect,TM,
magmar,SV,Psychic,TM,
magmar,SV,Rest,TM,
magmar,SV,Roar,TM,
magmar,SV,Scary Face,TM,
magmar,SV,Scorching Sands,TM,
magmar,SV,Sleep Talk,TM,
magmar,SV,Substitute,TM,
magmar,SV,Sunny Day,TM,
magmar,SV,Take Down,TM,
magmar,SV,Taunt,TM,
magmar,SV,Temper Flare,TM,
magmar,SV,Tera Blast,TM,
magmar,SV,Thief,TM,
magmar,SV,Thunder Punch,TM,
magmar,SV,Uproar,TM,
magmar,SV,Will-O-Wisp,TM,
magmortar,SV,Leer,Level up,1
magmortar,SV,Ember,Level up,1
magmortar,SV,Smokescreen,Level up,1
magmortar,SV,Smog,Level up,1
magmortar,SV,Clear Smog,Level up,12
magmortar,SV,Flame Wheel,Level up,16
magmortar,SV,Confuse Ray,Level up,20
magmortar,SV,Scary Face,Level up,24
magmortar,SV,Fire Punch,Level up,28
magmortar,SV,Lava Plume,Level up,34
magmortar,SV,Low Kick,Level up,40
magmortar,SV,Flamethrower,Level up,46
magmortar,SV,Sunny Day,Level up,52
magmortar,SV,Fire Blast,Level up,58
magmortar,SV,Hyper Beam,Level up,64
magmortar,SV,Belch,Egg,
magmortar,SV,Belly Drum,Egg,
magmortar,SV,Cross Chop,Egg,
magmortar,SV,Dynamic Punch,Egg,
magmortar,SV,Focus Punch,Egg,
magmortar,SV,Follow Me,Egg,
magmortar,SV,Mach Punch,Egg,
magmortar,SV,Acid Spray,TM,
magmortar,SV,Body Slam,TM,
magmortar,SV,Brick Break,TM,
magmortar,SV,Bulldoze,TM,
magmortar,SV,Burning Jealousy,TM,
magmortar,SV,Confuse Ray,TM,
magmortar,SV,Curse,TM,
magmortar,SV,Double-Edge,TM,
magmortar,SV,Earthquake,TM,
magmortar,SV,Endure,TM,
magmortar,SV,Facade,TM,
magmortar,SV,Fire Blast,TM,
magmortar,SV,Fire Punch,TM,
magmortar,SV,Fire Spin,TM,
magmortar,SV,Flame Charge,TM,
magmortar,SV,Flamethrower,TM,
magmortar,SV,Flare Blitz,TM,
magmortar,SV,Fling,TM,
magmortar,SV,Focus Blast,TM,
magmortar,SV,Focus Punch,TM,
magmortar,SV,Giga Impact,TM,
magmortar,SV,Heat Crash,TM,
