id,name,type_id,category_id,flavor_text,base_power,accuracy,pp
77,Bounce,10,1,"The user bounces up high on the first turn, then drops onto the target on the next turn. This may also leave the target with paralysis.",85,85,5
78,Bouncy Bubble,3,2,The user attacks by shooting water bubbles at the target. It then absorbs water and restores its HP by half the damage taken by the target.,90,100,15
79,Branch Poke,5,1,The user attacks the target by poking it with a sharply pointed branch.,40,100,40
80,Brave Bird,10,1,The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot.,120,100,15
81,Breaking Swipe,15,1,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.,60,100,15
82,Brick Break,7,1,"The user attacks with a swift chop. This move can also break barriers, such as Light Screen and Reflect.",75,100,15
83,Brine,3,2,This move’s power is doubled if the target’s HP is at half or less.,65,100,10
84,Brutal Swing,16,1,The user swings its body around violently to inflict damage on everything in its vicinity.,60,100,20
85,Bubble,3,2,A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat.,40,100,30
86,Bubble Beam,3,2,A spray of bubbles is forcefully ejected at the target. This may also lower the target’s Speed stat.,65,100,20
87,Bug Bite,12,1,"The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect.",60,100,20
88,Bug Buzz,12,2,The user vibrates to generate a damaging sound wave. This may also lower the target’s Sp. Def stat.,90,100,10
89,Bulk Up,7,3,"The user tenses its muscles to bulk up its body, boosting its Attack and Defense stats.",,,20
90,Bulldoze,9,1,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.,60,100,20
91,Bullet Punch,17,1,The user strikes the target with tough punches as fast as bullets. This move always goes first.,40,100,30
92,Bullet Seed,5,1,The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row.,25,100,30
93,Burn Up,2,2,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",130,100,5
94,Burning Jealousy,2,2,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.,70,100,5
95,Buzzy Buzz,4,2,The user shoots a jolt of electricity to attack the target. This also leaves the target with paralysis.,90,100,15
96,Calm Mind,11,3,The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats.,,,20
97,Camouflage,1,3,"The user’s type is changed depending on its environment, such as at water’s edge, in grass, or in a cave.",,,20
98,Captivate,1,3,"If any opposing Pokémon is the opposite gender of the user, it is charmed, which harshly lowers its Sp. Atk stat.",,100,20
99,Catastropika,4,1,"The user, Pikachu, surrounds itself with the maximum amount of electricity using its Z-Power and pounces on its target with full force.",210,,1
100,Ceaseless Edge,16,1,"The user slashes its shell blade at the target, aiming to land a critical hit. Shell splinters left behind by this attack remain scattered under the target as spikes.",65,90,15
101,Celebrate,1,3,The Pokémon congratulates you on your special day!,,,40
102,Charge,4,3,"The user becomes charged, boosting the power of the next Electric-type move it uses. This also boosts the user’s Sp. Def stat.",,,20
103,Charge Beam,4,2,The user attacks the target with an electric charge. The residual electricity may also boost the user’s Sp. Atk stat.,50,90,10
104,Charm,18,3,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target’s Attack stat.",,100,20
105,Chatter,10,2,The user attacks the target with sound waves of deafening chatter. This also confuses the target.,65,100,20
106,Chilling Water,3,2,The user attacks the target by showering it with water that’s so cold it saps the target’s power. This also lowers the target’s Attack stat.,50,100,20
107,Chilly Reception,6,3,The user tells a chillingly bad joke before switching places with a party Pokémon in waiting. This summons a snowstorm lasting five turns.,,,10
108,Chip Away,1,1,"Looking for an opening, the user strikes consistently. The target’s stat changes don’t affect this attack’s damage.",70,100,20
109,Chloroblast,5,2,The user launches its amassed chlorophyll to inflict damage on the target. This also damages the user.,150,95,5
110,Circle Throw,7,1,"The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",60,90,10
111,Clamp,3,1,The target is clamped and squeezed by the user’s very thick and sturdy shell for four to five turns.,35,85,15
112,Clanging Scales,15,2,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user’s Defense stat is lowered after the attack.,110,100,5
113,Clangorous Soul,15,3,The user boosts all its stats by using some of its own HP.,,100,5
114,Clangorous Soulblaze,15,2,"After obtaining Z-Power, the user, Kommo-o, attacks the opposing Pokémon with full force. This move boosts the user’s stats.",185,,1
115,Clear Smog,8,2,The user attacks the target by throwing a clump of special mud. All stat changes are eliminated.,50,,15
116,Close Combat,7,1,"The user fights the target up close, inflicting damage without guarding itself. This also lowers the user’s Defense and Sp. Def stats.",120,100,5
117,Coaching,7,3,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats.",,,10
118,Coil,8,3,The user coils up and concentrates. This boosts its Attack and Defense stats as well as its accuracy.,,,20
119,Collision Course,7,1,"The user transforms and crashes to the ground, causing a massive prehistoric explosion. This move’s power is boosted more than usual if it’s a supereffective hit.",100,100,5
120,Combat Torque,7,1,Signature move of the Caph Starmobile.,100,100,10
121,Comet Punch,1,1,The target is hit with a flurry of punches that strike two to five times in a row.,18,85,15
122,Comeuppance,16,1,The user retaliates with much greater force against the opponent that last inflicted damage on it.,1,100,10
123,Confide,1,3,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target’s Sp. Atk stat.",,,20
124,Confuse Ray,14,3,The target is exposed to a sinister ray that causes confusion.,,100,10
125,Confusion,11,2,The target is hit with a weak telekinetic force to inflict damage. This may also confuse the target.,50,100,25
126,Constrict,1,1,"The target is attacked with long, creeping tentacles, vines, or the like. This may also lower the target’s Speed stat.",10,100,35
127,Conversion,1,3,The user changes its type to become the same type as the move at the top of the list of moves it knows.,,,30
128,Conversion 2,1,3,The user changes its type to make itself resistant to the type of the move the target used last.,,,30
129,Copycat,1,3,The user mimics the move used immediately before it. This move fails if no other move has been used yet.,,,20
130,Core Enforcer,15,2,"If the Pokémon damaged by this move have already used their moves that turn, this move eliminates the effects of those Pokémon’s Abilities.",100,100,10
131,Corrosive Gas,8,3,The user surrounds everything around it with highly acidic gas and melts away items held by other Pokémon.,,100,40
132,Cosmic Power,11,3,The user absorbs a mystical power from space to boost its Defense and Sp. Def stats.,,,20
133,Cotton Guard,5,3,"The user protects itself by wrapping its body in soft cotton, drastically boosting its Defense stat.",,,10
134,Cotton Spore,5,3,The user releases cotton-like spores that cling to opposing Pokémon. This harshly lowers their Speed stats.,,100,40
135,Counter,7,1,"A retaliatory attack that counters any physical move, inflicting double the damage taken.",,100,20
136,Court Change,1,3,"With its mysterious power, the user swaps the effects on either side of the field.",,100,10
137,Covet,1,1,"The user endearingly approaches the target, then steals the target’s held item.",60,100,25
138,Crabhammer,3,1,The target is hammered with a large pincer. This move has a heightened chance of landing a critical hit.,100,90,10
139,Crafty Shield,18,3,The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage.,,,10
140,Cross Chop,7,1,The user delivers a double chop with its forearms crossed. This move has a heightened chance of landing a critical hit.,100,80,5
141,Cross Poison,8,1,A slashing attack with a poisonous blade that may also poison the target. This move has a heightened chance of landing a critical hit.,70,100,20
142,Crunch,16,1,The user crunches up the target with sharp fangs. This may also lower the target’s Defense stat.,80,100,15
143,Crush Claw,1,1,The user slashes the target with hard and sharp claws. This may also lower the target’s Defense stat.,75,95,10
144,Crush Grip,1,1,"The target is crushed with great force. The more HP the target has left, the greater the move’s power.",,100,5
145,Curse,14,3,A move that has different effects depending on whether the user is a Ghost type or not.,,,10
146,Cut,1,1,"The target is cut with a scythe, a claw, or the like to inflict damage.",50,95,30
147,Dark Pulse,16,2,The user releases a horrible aura imbued with ill intent. This may also make the target flinch.,80,100,15
148,Dark Void,16,3,Opposing Pokémon are dragged into a world of total darkness that puts them to sleep.,,50,10
149,Darkest Lariat,16,1,The user swings both arms and hits the target. The target’s stat changes don’t affect the damage inflicted by this move.,85,100,10
150,Dazzling Gleam,18,2,The user damages opposing Pokémon by emitting a powerful flash.,80,100,10
151,Decorate,18,3,The user sharply boosts the target’s Attack and Sp. Atk stats by decorating the target.,,,15
152,Defend Order,12,3,"The user calls out its underlings to shield its body, boosting its Defense and Sp. Def stats.",,,10
153,Defense Curl,1,3,The user curls up and boosts its Defense stat.,,,40
154,Defog,10,3,A strong wind blows away the target’s barriers such as Reflect or Light Screen. This also lowers the target’s evasiveness.,,,15
155,Destiny Bond,14,3,"If the user is knocked out after using this move, the Pokémon that knocked it out will also faint. This move’s chance of failing rises if it is used in succession.",,,5
156,Detect,7,3,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.,,,5
157,Diamond Storm,13,1,The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply boost the user’s Defense stat.,100,95,5
158,Dig,9,1,"The user burrows into the ground on the first turn, then attacks on the next turn.",80,100,10
159,Dire Claw,8,1,"The user lashes out at the target with ruinous claws, aiming to land a critical hit. This may also leave the target poisoned, paralyzed, or asleep.",80,100,15
160,Disable,1,3,"For four turns, the target will be unable to use whichever move it last used.",,100,20
161,Disarming Voice,18,2,"Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses.",40,,15
162,Discharge,4,2,The user strikes everything around it by letting loose a flare of electricity. This may also leave those hit by the attack with paralysis.,80,100,15
163,Dive,3,1,"The user dives on the first turn, then floats up and attacks on the next turn.",80,100,10
164,Dizzy Punch,1,1,The target is hit with rhythmically launched punches. This may also leave the target confused.,70,100,10
165,Doodle,1,3,The user captures the very essence of the target in a sketch. This changes the Abilities of the user and its ally Pokémon to that of the target.,,100,10
166,Doom Desire,17,2,"Two turns after this move is used, a concentrated bundle of light blasts the target.",140,100,5
167,Double Hit,1,1,The user slams the target with a tail or the like. The target is hit twice in a row.,35,90,10
168,Double Iron Bash,17,1,"The user uses the hex nut in its chest as an axis to spin, striking the target with its arms twice in a row. This may also make the target flinch.",60,100,5
169,Double Kick,7,1,The user attacks by kicking the target twice in a row using two feet.,30,100,30
170,Double Shock,4,1,"The user discharges all the electricity from its body to perform a high-damage attack. After using this move, the user will no longer be Electric type.",120,100,5
171,Double Slap,1,1,"The target is slapped repeatedly, back and forth, two to five times in a row.",15,85,10
172,Double Team,1,3,"By moving rapidly, the user makes illusory copies of itself to boost its evasiveness.",,,15
173,Double-Edge,1,1,A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot.,120,100,15
174,Draco Meteor,15,2,Comets are summoned down from the sky onto the target. The recoil from this move harshly lowers the user’s Sp. Atk stat.,130,90,5
175,Dragon Ascent,10,1,The user attacks the target by dropping out of the sky at high speed. This also lowers the user’s Defense and Sp. Def stats.,120,100,5
176,Dragon Breath,15,2,The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.,60,100,20
177,Dragon Claw,15,1,"The user slashes the target with huge, sharp claws to inflict damage.",80,100,15
178,Dragon Dance,15,3,"The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats.",,,20
179,Dragon Darts,15,1,"The user attacks twice using Dreepy. If there are two opposing Pokémon, this move hits each of them once.",50,100,10
180,Dragon Energy,15,2,"Converting its life-force into power, the user attacks opposing Pokémon. The lower the user’s HP, the lower the move’s power.",150,100,5
181,Dragon Hammer,15,1,The user uses its body like a hammer to attack the target and inflict damage.,90,100,15
182,Dragon Pulse,15,2,The target is attacked with a shock wave generated by the user’s gaping mouth.,85,100,10
183,Dragon Rage,15,2,This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.,,100,10
184,Dragon Rush,15,1,The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.,100,75,10
185,Dragon Tail,15,1,"The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",60,90,10
186,Drain Punch,7,1,The user attacks with an energy-draining punch. The user’s HP is restored by up to half the damage taken by the target.,75,100,10
187,Draining Kiss,18,2,The user steals the target’s HP with a kiss. The user’s HP is restored by over half the damage taken by the target.,50,100,10
188,Dream Eater,11,2,The user eats the dreams of a sleeping target. The user’s HP is restored by up to half the damage taken by the target.,100,100,15
189,Drill Peck,10,1,A corkscrewing attack that strikes the target with a sharp beak acting as a drill.,80,100,20
190,Drill Run,9,1,The user crashes into the target while rotating its body like a drill. This move has a heightened chance of landing a critical hit.,80,95,10
191,Drum Beating,5,1,"The user plays its drum, controlling the drum’s roots to attack the target. This also lowers the target’s Speed stat.",80,100,10
192,Dual Chop,15,1,The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.,40,90,15
193,Dual Wingbeat,10,1,The user slams the target with its wings to inflict damage. The target is hit twice in a row.,40,90,10
194,Dynamax Cannon,15,2,The user condenses energy within its body and unleashes that energy from its core to inflict damage.,100,100,5
195,Dynamic Punch,7,1,The user attacks by punching the target with full concentrated power. This also confuses the target.,100,50,5
196,Earth Power,9,2,The user makes the ground under the target erupt with power. This may also lower the target’s Sp. Def stat.,90,100,10
197,Earthquake,9,1,The user sets off an earthquake that strikes every Pokémon around it.,100,100,10
198,Echoed Voice,1,2,"The user attacks the target with an echoing voice. If this move is used consecutively by any Pokémon, its power is boosted.",40,100,15
199,Eerie Impulse,4,3,The user’s body generates an eerie impulse. Exposing the target to it harshly lowers the target’s Sp. Atk stat.,,100,15
200,Eerie Spell,11,2,The user attacks with its tremendous psychic power. This also drains 3 PP from the move last used by the target.,80,100,5
201,Egg Bomb,1,1,A large egg is hurled at the target with maximum force to inflict damage.,100,75,10
202,Electric Terrain,4,3,"The user turns the ground into Electric Terrain for five turns, powering up Electric-type moves. Pokémon on the ground can no longer fall asleep.",,,10
203,Electrify,4,3,"If the target is electrified before it uses a move, the target’s move becomes Electric type for that turn.",,,20
204,Electro Ball,4,2,"The user hurls an electric orb at the target. The faster the user is than the target, the greater the move’s power.",,100,10
205,Electro Drift,4,2,"The user races forward at ultrafast speeds, piercing its target with futuristic electricity. This move’s power is boosted more than usual if it’s a supereffective hit.",100,100,5
206,Electroweb,4,2,The user captures opposing Pokémon in an electric net to inflict damage. This also lowers their Speed stats.,55,95,15
207,Embargo,16,3,This move prevents the target from using its held item for five turns. Its Trainer is also prevented from using items on it.,,100,15
208,Ember,2,2,The target is attacked with small flames. This may also leave the target with a burn.,40,100,25
209,Encore,1,3,The user compels the target to keep using the move it encored for three turns.,,100,5
210,Endeavor,1,1,The user inflicts damage by cutting down the target’s HP to roughly equal the user’s HP.,,100,5
211,Endure,1,3,The user endures any attack with at least 1 HP. This move’s chance of failing rises if used in succession.,,,10
212,Energy Ball,5,2,The user draws power from nature and fires it at the target. This may also lower the target’s Sp. Def stat.,90,100,10
213,Entrainment,1,3,"The user dances with an odd rhythm that compels the target to mimic it, making the target’s Ability the same as the user’s.",,100,15
214,Eruption,2,2,"The user attacks opposing Pokémon with explosive fury. The lower the user’s HP, the lower the move’s power.",150,100,5
215,Esper Wing,11,2,The user slashes the target with aura-enriched wings. This also boosts the user’s Speed stat. This move has a heightened chance of landing a critical hit.,80,100,10
216,Eternabeam,15,2,This is Eternatus’s most powerful attack in its original form. The user can’t move on the next turn.,160,90,5
217,Expanding Force,11,2,"The user attacks the target with its psychic power. When the ground is Psychic Terrain, this move’s power is boosted and it damages all opposing Pokémon.",80,100,10
218,Explosion,1,1,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.,250,100,5
219,Extrasensory,11,2,"The user attacks with an odd, unseeable power. This may also make the target flinch.",80,100,20
220,Extreme Evoboost,1,3,"After obtaining Z-Power, the user, Eevee, gets energy from its evolved friends and boosts its stats sharply.",,,1
221,Extreme Speed,1,1,The user charges the target at blinding speed. This move always goes first.,80,100,5
222,Facade,1,1,"This move’s power is doubled if the user is poisoned, burned, or paralyzed.",70,100,20
223,Fairy Lock,18,3,"By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn.",,,10
224,Fairy Wind,18,2,The user attacks by stirring up a fairy wind to strike the target.,40,100,30
225,Fake Out,1,1,This attack hits first and makes the target flinch. It works only on the first turn each time the user enters battle.,40,100,10
226,Fake Tears,16,3,The user feigns crying to fluster the target. This harshly lowers the target’s Sp. Def stat.,,100,20
227,False Surrender,16,1,"The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses.",80,,10
228,False Swipe,1,1,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.,40,100,40
229,Feather Dance,10,3,The user covers the target’s body with a mass of down that harshly lowers its Attack stat.,,100,15
230,Feint,1,1,This attack can hit a target using a move such as Protect or Detect. This also lifts the effects of those moves.,30,100,10
231,Feint Attack,16,1,"The user approaches the target disarmingly, then throws a sucker punch. This attack never misses.",60,,20
232,Fell Stinger,12,1,"When the user knocks out a target with this move, the user’s Attack stat is boosted drastically.",50,100,25
233,Fiery Dance,2,2,"Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also boost the user’s Sp. Atk stat.",80,100,10
234,Fiery Wrath,16,2,The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch.,90,100,10
235,Fillet Away,1,3,"The user sharply boosts its Attack, Sp. Atk, and Speed stats by using its own HP.",,,10
236,Final Gambit,7,2,The user risks everything to attack the target. The user faints but inflicts damage equal to its own HP.,,100,5
237,Fire Blast,2,2,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.,110,85,5
238,Fire Fang,2,1,The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.,65,95,15
239,Fire Lash,2,1,The user strikes the target with a burning lash. This also lowers the target’s Defense stat.,80,100,15
240,Fire Pledge,2,2,"A column of fire hits the target. When used with its grass counterpart, this move’s power is boosted and a vast sea of fire appears.",80,100,10
241,Fire Punch,2,1,The target is attacked with a fiery punch. This may also leave the target with a burn.,75,100,15
242,Fire Spin,2,2,The user traps the target inside a fierce vortex of fire that inflicts damage for four to five turns.,35,85,15
243,First Impression,12,1,"Although this move has great power, it works only on the first turn each time the user enters battle.",90,100,10
244,Fishious Rend,3,1,The user rends the target with its hard gills. This move’s power is doubled if the user moves before the target.,85,100,10
245,Fissure,9,1,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.,,30,5
246,Flail,1,1,"The user flails about aimlessly to attack. The less HP the user has, the greater the move’s power.",,100,15
247,Flame Burst,2,2,The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.,70,100,15
248,Flame Charge,2,1,"Cloaking itself in flame, the user attacks the target. Then, building up momentum, the user boosts its Speed stat.",50,100,20
249,Flame Wheel,2,1,The user attacks by cloaking itself in fire and charging at the target. This may also leave the target with a burn.,60,100,25
250,Flamethrower,2,2,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,90,100,15
251,Flare Blitz,2,1,The user cloaks itself in fire and charges the target to inflict damage. This also damages the user quite a lot and may leave the target with a burn.,120,100,15
252,Flash,1,3,The user flashes a light that lowers the target’s accuracy. It can also be used to illuminate caves.,,100,20
253,Flash Cannon,17,2,The user gathers all its light energy and releases it at once. This may also lower the target’s Sp. Def stat.,80,100,10
254,Flatter,16,3,"Flattery is used to confuse the target. However, this also boosts the target’s Sp. Atk stat.",,100,15
255,Fleur Cannon,18,2,The user unleashes a strong beam. The recoil from this move harshly lowers the user’s Sp. Atk stat.,130,90,5
256,Fling,16,1,The user flings its held item at the target to attack. This move’s power and effects depend on the item.,,100,10
257,Flip Turn,3,1,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",60,100,20
258,Floaty Fall,10,1,"The user floats in the air, and then dives at a steep angle to attack the target. This may also make the target flinch.",90,95,15
259,Floral Healing,18,3,The user restores the target’s HP by up to half its max HP. More HP is restored when the ground is Grassy Terrain.,,,10
260,Flower Shield,18,3,The user raises the Defense stats of all Grass-type Pokémon in battle with a mysterious power.,,,10
261,Flower Trick,5,1,The user throws a rigged bouquet of flowers at the target. This attack never misses and always lands a critical hit.,70,,10
262,Fly,10,1,"The user flies up into the sky on the first turn, then attacks on the next turn.",90,95,15
