id,name,flavor_text
37,Costar,"When the Pokémon enters a battle, it copies an ally’s stat changes."
38,Cotton Down,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stats of all Pokémon except itself."
39,Cud Chew,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time."
40,Curious Medicine,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies."
41,Cursed Body,May disable a move that has dealt damage to the Pokémon.
42,Cute Charm,The Pokémon may infatuate attackers that make direct contact with it.
43,Damp,"The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct."
44,Dancer,"Whenever a dance move is used in battle, the Pokémon will copy the user to immediately perform that dance move itself."
45,Dark Aura,Powers up the Dark-type moves of all Pokémon on the field.
46,Dauntless Shield,Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle.
47,Dazzling,"The Pokémon dazzles its opponents, making them unable to use priority moves against the Pokémon or its allies."
48,Defeatist,Halves the Pokémon’s Attack and Sp. Atk stats when its HP drops to half or less.
49,Defiant,"If the Pokémon has any stat lowered by an opposing Pokémon, its Attack stat will be boosted sharply."
50,Delta Stream,The Pokémon changes the weather so that no moves are supereffective against the Flying type.
51,Desolate Land,The Pokémon changes the weather to nullify Water-type attacks.
52,Disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack."
53,Download,The Pokémon compares an opposing Pokémon’s Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.
54,Dragon's Maw,Powers up Dragon-type moves.
55,Drizzle,The Pokémon makes it rain when it enters a battle.
56,Drought,Turns the sunlight harsh when the Pokémon enters a battle.
57,Dry Skin,"Restores the Pokémon’s HP in rain or when it is hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves."
58,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.
59,Earth Eater,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage."
60,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker."
61,Electric Surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.
62,Electromorphosis,"The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses."
63,Embody Aspect,"The Pokémon's heart fills with memories, causing the Mask to shine and the Pokémon's Speed stat to be boosted."
64,Emergency Exit,"The Pokémon, sensing danger, switches out when its HP drops to half or less."
65,Fairy Aura,Powers up the Fairy-type moves of all Pokémon on the field.
66,Filter,Reduces the power of supereffective attacks that hit the Pokémon.
67,Flame Body,Contact with the Pokémon may burn the attacker.
68,Flare Boost,Powers up special moves when the Pokémon is burned.
69,Flash Fire,"If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves."
70,Flower Gift,Boosts the Attack and Sp. Def stats of the Pokémon and its allies in harsh sunlight.
71,Flower Veil,Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.
72,Fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves."
73,Forecast,"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice."
74,Forewarn,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has."
75,Friend Guard,Reduces damage dealt to allies.
76,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon’s held item."
77,Full Metal Body,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
78,Fur Coat,Halves the damage from physical moves.
79,Gale Wings,Gives priority to the Pokémon’s Flying-type moves while its HP is full.
80,Galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.
81,Gluttony,"If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less."
82,Good as Gold,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon’s status moves."
83,Gooey,Contact with the Pokémon lowers the attacker’s Speed stat.
84,Gorilla Tactics,Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.
85,Grass Pelt,Boosts the Pokémon’s Defense stat on Grassy Terrain.
86,Grassy Surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.
87,Grim Neigh,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat."
88,Guard Dog,Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.
89,Gulp Missile,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack."
90,Guts,It’s so gutsy that having a status condition boosts the Pokémon’s Attack stat.
91,Hadron Engine,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.
92,Harvest,May create another Berry after one is used.
93,Healer,Sometimes cures the status conditions of the Pokémon’s allies.
94,Heatproof,The Pokémon’s heatproof body halves the damage taken from Fire-type moves.
95,Heavy Metal,Doubles the Pokémon’s weight.
96,Honey Gather,The Pokémon may gather Honey after a battle.
97,Hospitality,"When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP."
98,Huge Power,Doubles the Pokémon’s Attack stat.
99,Hunger Switch,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn."
100,Hustle,Boosts the Pokémon’s Attack stat but lowers its accuracy.
101,Hydration,Cures the Pokémon’s status conditions in rain.
102,Hyper Cutter,"The Pokémon’s prized, mighty pincers prevent other Pokémon from lowering its Attack stat."
103,Ice Body,The Pokémon gradually regains HP in snow.
104,Ice Face,"The Pokémon’s ice head can take a physical attack as a substitute, but the attack also changes the Pokémon’s appearance. The ice will be restored when it snows."
105,Ice Scales,"The Pokémon is protected by ice scales, which halve the damage taken from special moves."
106,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.
107,Illusion,The Pokémon fools opponents by entering battle disguised as the last Pokémon in its Trainer’s party.
108,Immunity,The Pokémon’s immune system prevents it from being poisoned.
109,Imposter,The Pokémon transforms itself into the Pokémon it’s facing.
110,Infiltrator,"The Pokémon’s moves are unaffected by the target’s barriers, substitutes, and the like."
111,Innards Out,"When the Pokémon is knocked out, it damages its attacker by the amount equal to the HP it had left before it was hit."
112,Inner Focus,The Pokémon’s intense focus prevents it from flinching or being affected by Intimidate.
113,Insomnia,The Pokémon’s insomnia prevents it from falling asleep.
114,Intimidate,"When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats."
115,Intrepid Sword,Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle.
116,Iron Barbs,The Pokémon’s iron barbs damage the attacker if it makes direct contact.
117,Iron Fist,Powers up punching moves.
118,Justified,"When the Pokémon is hit by a Dark-type attack, its Attack stat is boosted by its sense of justice."
119,Keen Eye,The Pokémon’s keen eyes prevent its accuracy from being lowered.
120,Klutz,The Pokémon can’t use any held items.
121,Leaf Guard,Prevents status conditions in harsh sunlight.
122,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
123,Libero,Changes the Pokémon’s type to the type of the move it’s about to use. This works only once each time the Pokémon enters battle.
124,Light Metal,Halves the Pokémon’s weight.
125,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted."
126,Limber,The Pokémon’s limber body prevents it from being paralyzed.
127,Lingering Aroma,Contact with the Pokémon changes the attacker’s Ability to Lingering Aroma.
128,Liquid Ooze,The strong stench of the Pokémon’s oozed liquid damages attackers that use HP-draining moves.
129,Liquid Voice,Sound-based moves become Water-type moves.
130,Long Reach,The Pokémon uses its moves without making contact with the target.
131,Magic Bounce,The Pokémon reflects status moves instead of getting hit by them.
132,Magic Guard,The Pokémon only takes damage from attacks.
133,Magician,The Pokémon steals the held item from any target it hits with a move.
134,Magma Armor,The Pokémon’s hot magma coating prevents it from being frozen.
135,Magnet Pull,Prevents Steel-type Pokémon from fleeing by pulling them in with magnetism.
136,Marvel Scale,The Pokémon’s marvelous scales boost its Defense stat if it has a status condition.
137,Mega Launcher,Powers up pulse moves.
138,Merciless,The Pokémon’s attacks become critical hits if the target is poisoned.
139,Mimicry,Changes the Pokémon’s type depending on the terrain.
140,Mind's Eye,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal- and Fighting-type moves."
141,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
142,Mirror Armor,Bounces back only the stat-lowering effects that the Pokémon receives.
143,Misty Surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.
144,Mold Breaker,The Pokémon’s moves are unimpeded by the Ability of the target.
145,Moody,"Every turn, one of the Pokémon’s stats will be boosted sharply but another stat will be lowered."
146,Motor Drive,"The Pokémon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted."
147,Moxie,"When the Pokémon knocks out a target, it shows moxie, which boosts its Attack stat."
148,Multiscale,Reduces the amount of damage the Pokémon takes while its HP is full.
149,Multitype,Changes the Pokémon’s type to match the plate it holds.
150,Mummy,Contact with the Pokémon changes the attacker’s Ability to Mummy.
151,Mycelium Might,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target."
152,Natural Cure,The Pokémon’s status conditions are cured when it switches out.
153,Neuroforce,Powers up the Pokémon’s supereffective attacks even further.
154,Neutralizing Gas,"While the Pokémon is in the battle, the effects of all other Pokémon’s Abilities will be nullified or will not be triggered."
155,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.
156,Normalize,All the Pokémon’s moves become Normal type. The power of those moves is boosted a little.
157,Oblivious,"The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate."
158,Opportunist,"If an opponent’s stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself."
159,Orichalcum Pulse,Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.
160,Overcoat,The Pokémon takes no damage from sandstorms. It is also protected from the effects of powders and spores.
161,Overgrow,Powers up Grass-type moves when the Pokémon’s HP is low.
162,Own Tempo,"The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate."
163,Parental Bond,The parent and child attack one after the other.
164,Pastel Veil,Prevents the Pokémon and its allies from being poisoned.
165,Perish Body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
166,Pickpocket,The Pokémon steals the held item from attackers that make direct contact with it.
167,Pickup,"The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too."
168,Pixilate,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.
169,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
170,Poison Heal,"If poisoned, the Pokémon has its HP restored instead of taking damage."
171,Poison Point,Contact with the Pokémon may poison the attacker.
172,Poison Touch,May poison a target when the Pokémon makes contact.
173,Power Construct,"Cells gather to aid the Pokémon when its HP drops to half or less, causing it to change into its Complete Forme."
174,Power Spot,Just being next to the Pokémon powers up moves.
175,Power of Alchemy,The Pokémon copies the Ability of a defeated ally.
176,Prankster,Gives priority to the Pokémon’s status moves.
177,Pressure,"Puts other Pokémon under pressure, causing them to expend more PP to use their moves."
178,Primordial Sea,The Pokémon changes the weather to nullify Fire-type attacks.
179,Prism Armor,Reduces the power of supereffective attacks that hit the Pokémon.
180,Propeller Tail,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.
181,Protean,Changes the Pokémon’s type to the type of the move it’s about to use. This works only once each time the Pokémon enters battle.
182,Protosynthesis,Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.
183,Psychic Surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.
184,Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.
185,Pure Power,"Using its pure power, the Pokémon doubles its Attack stat."
186,Purifying Salt,The Pokémon’s pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.
187,Quark Drive,Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.
188,Queenly Majesty,The Pokémon’s majesty pressures opponents and makes them unable to use priority moves against the Pokémon or its allies.
189,Quick Draw,Enables the Pokémon to move first occasionally.
190,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.
191,RKS System,Changes the Pokémon’s type to match the memory disc it holds.
192,Rain Dish,The Pokémon gradually regains HP in rain.
193,Rattled,"The Pokémon gets scared when hit by a Dark-, Ghost-, or Bug-type attack or if intimidated, which boosts its Speed stat."
194,Receiver,The Pokémon copies the Ability of a defeated ally.
195,Reckless,Powers up moves that have recoil damage.
196,Refrigerate,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.
197,Regenerator,The Pokémon has a little of its HP restored when withdrawn from battle.
198,Ripen,Ripens Berries and doubles their effect.
199,Rivalry,"The Pokémon’s competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender."
200,Rock Head,Protects the Pokémon from recoil damage.
201,Rocky Payload,Powers up Rock-type moves.
202,Rough Skin,The Pokémon’s rough skin damages attackers that make direct contact with it.
203,Run Away,Enables a sure getaway from wild Pokémon.
204,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm."
205,Sand Rush,Boosts the Pokémon’s Speed stat in a sandstorm.
206,Sand Spit,The Pokémon creates a sandstorm when it’s hit by an attack.
207,Sand Stream,The Pokémon summons a sandstorm when it enters a battle.
208,Sand Veil,Boosts the Pokémon’s evasiveness in a sandstorm.
209,Sap Sipper,"The Pokémon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted."
210,Schooling,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low."
211,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.
212,Screen Cleaner,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon."
213,Seed Sower,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.
214,Serene Grace,Raises the likelihood of additional effects occurring when the Pokémon uses its moves.
215,Shadow Shield,Reduces the amount of damage the Pokémon takes while its HP is full.
216,Shadow Tag,The Pokémon steps on the opposing Pokémon’s shadows to prevent them from fleeing or switching out.
217,Sharpness,Powers up slicing moves.
218,Shed Skin,The Pokémon may cure its own status conditions by shedding its skin.
219,Sheer Force,"Removes any additional effects from the Pokémon’s moves, but increases the moves’ power."
220,Shell Armor,A hard shell protects the Pokémon from critical hits.
221,Shield Dust,Protective dust shields the Pokémon from the additional effects of moves.
222,Shields Down,"When its HP drops to half or less, the Pokémon’s shell breaks and it becomes aggressive."
223,Simple,Doubles the effects of the Pokémon’s stat changes.
224,Skill Link,Maximizes the number of times multistrike moves hit.
225,Slow Start,"For five turns, the Pokémon’s Attack and Speed stats are halved."
226,Slush Rush,Boosts the Pokémon’s Speed stat in snow.
227,Sniper,"If the Pokémon’s attack lands a critical hit, the attack is powered up even further."
228,Snow Cloak,Boosts the Pokémon’s evasiveness in snow.
229,Snow Warning,The Pokémon makes it snow when it enters a battle.
230,Solar Power,"In harsh sunlight, the Pokémon’s Sp. Atk stat is boosted, but its HP decreases every turn."
231,Solid Rock,Reduces the power of supereffective attacks that hit the Pokémon.
232,Soul-Heart,Boosts the Pokémon’s Sp. Atk stat every time another Pokémon faints.
233,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.
234,Speed Boost,The Pokémon’s Speed stat is boosted every turn.
235,Stakeout,Doubles the damage dealt to a target that has just switched into battle.
236,Stall,The Pokémon is always the last to use its moves.
237,Stalwart,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.
238,Stamina,Boosts the Defense stat when the Pokémon is hit by an attack.
239,Stance Change,The Pokémon changes its form to Blade Forme when it uses an attack move and changes to Shield Forme when it uses King’s Shield.
240,Static,The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.
241,Steadfast,The Pokémon’s determination boosts its Speed stat every time it flinches.
242,Steam Engine,Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move.
243,Steelworker,Powers up Steel-type moves.
244,Steely Spirit,Powers up the Steel-type moves of the Pokémon and its allies.
245,Stench,"By releasing a stench when attacking, the Pokémon may cause the target to flinch."
246,Sticky Hold,The Pokémon’s held items cling to its sticky body and cannot be removed by other Pokémon.
247,Storm Drain,"The Pokémon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted."
248,Strong Jaw,The Pokémon’s strong jaw boosts the power of its biting moves.
249,Sturdy,The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.
250,Suction Cups,The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.
251,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.
252,Supersweet Syrup,"A sickly sweet scent spreads across the field the first time the Pokémon enters a battle, lowering the evasiveness of opposing Pokémon."
253,Supreme Overlord,"When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated."
254,Surge Surfer,Doubles the Pokémon’s Speed stat on Electric Terrain.
255,Swarm,Powers up Bug-type moves when the Pokémon’s HP is low.
256,Sweet Veil,Prevents the Pokémon and its allies from falling asleep.
257,Swift Swim,Boosts the Pokémon’s Speed stat in rain.
258,Sword of Ruin,The power of the Pokémon’s ruinous sword lowers the Defense stats of all Pokémon except itself.
259,Symbiosis,The Pokémon passes its held item to an ally that has used up an item.
260,Synchronize,"If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition."
261,Tablets of Ruin,The power of the Pokémon’s ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.
262,Tangled Feet,Boosts the Pokémon’s evasiveness if it is confused.
263,Tangling Hair,Contact with the Pokémon lowers the attacker’s Speed stat.
264,Technician,Powers up weak moves so the Pokémon can deal more damage with them.
265,Telepathy,The Pokémon anticipates and dodges the attacks of its allies.
266,Teravolt,The Pokémon’s moves are unimpeded by the Ability of the target.
267,Thermal Exchange,Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.
268,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves."
269,Tinted Lens,The Pokémon can use “not very effective” moves to deal regular damage.
270,Torrent,Powers up Water-type moves when the Pokémon’s HP is low.
271,Tough Claws,Powers up moves that make direct contact.
272,Toxic Boost,Powers up physical moves when the Pokémon is poisoned.
273,Toxic Chain,The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move.
274,Toxic Debris,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
275,Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon’s Ability."
276,Transistor,Powers up Electric-type moves.
277,Triage,Gives priority to the Pokémon’s healing moves.
278,Truant,"Each time the Pokémon uses a move, it spends the next turn loafing around."
279,Turboblaze,The Pokémon’s moves are unimpeded by the Ability of the target.
280,Unaware,"When attacking, the Pokémon ignores the target’s stat changes."
281,Unburden,Boosts the Speed stat if the Pokémon’s held item is used or lost.
282,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.
283,Unseen Fist,"If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself."
284,Vessel of Ruin,The power of the Pokémon’s ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.
285,Victory Star,Boosts the accuracy of the Pokémon and its allies.
286,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep."
287,Volt Absorb,"If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage."
288,Wandering Spirit,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.
289,Water Absorb,"If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage."
290,Water Bubble,Lowers the power of Fire-type moves that hit the Pokémon and prevents it from being burned.
291,Water Compaction,Boosts the Defense stat sharply when the Pokémon is hit by a Water-type move.
292,Water Veil,The Pokémon’s water veil prevents it from being burned.
293,Weak Armor,"The Pokémon’s Defense stat is lowered when it takes damage from physical moves, but its Speed stat is sharply boosted."
294,Well-Baked Body,"The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted."
295,White Smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats."
296,Wimp Out,The Pokémon cowardly switches out when its HP drops to half or less.
297,Wind Power,"The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses."
298,Wind Rider,Boosts the Pokémon’s Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.
299,Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.
300,Wonder Skin,Makes status moves more likely to miss the Pokémon.
301,Zen Mode,Changes the Pokémon’s shape when its HP drops to half or less.
302,Zero to Hero,The Pokémon transforms into its Hero Form when it switches out.
