name,type,category,flavor_text,base_power,accuracy,pp
Bitter Malice,Ghost,Special,The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat.,75,100,10
Blast Burn,Fire,Special,The target is razed by a fiery explosion. The user can’t move on the next turn.,150,90,5
Blaze Kick,Fire,Physical,The user launches a kick that has a heightened chance of landing a critical hit. This may also leave the target with a burn.,85,90,10
Blazing Torque,Fire,Physical,,80,100,10
Bleakwind Storm,Flying,Special,The user attacks with savagely cold winds that cause both body and spirit to tremble. This may also lower the Speed stats of opposing Pokémon.,100,80,10
Blizzard,Ice,Special,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,110,70,5
Block,Normal,Status,The user blocks the target’s way with arms spread wide to prevent the target from fleeing.,,,5
Blood Moon,Normal,Special,The user unleashes the full brunt of its spirit from a full moon that shines as red as blood. This move can't be used twice in a row.,140,100,5
Blue Flare,Fire,Special,"The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn.",130,85,5
Body Press,Fighting,Physical,"The user attacks by slamming its body into the target. The higher the user’s Defense stat, the greater the damage this move deals.",80,100,10
Body Slam,Normal,Physical,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,85,100,15
Bolt Beak,Electric,Physical,The user stabs the target with its electrified beak. This move’s power is doubled if the user moves before the target.,85,100,10
Bolt Strike,Electric,Physical,The user surrounds itself with a great amount of electricity and charges the target. This may also leave the target with paralysis.,130,85,5
Bone Club,Ground,Physical,The user clubs the target with a bone. This may also make the target flinch.,65,85,20
Bone Rush,Ground,Physical,The user attacks by striking the target with a hard bone. This move hits two to five times in a row.,25,90,10
Bonemerang,Ground,Physical,The user throws the bone it holds. The bone loops around to damage the target twice—coming and going.,50,90,10
Boomburst,Normal,Special,The user attacks everything around it with the destructive power of a terrible explosive sound.,140,100,10
Bounce,Flying,Physical,"The user bounces up high on the first turn, then drops onto the target on the next turn. This may also leave the target with paralysis.",85,85,5
Bouncy Bubble,Water,Special,The user attacks by shooting water bubbles at the target. It then absorbs water and restores its HP by half the damage taken by the target.,90,100,15
Branch Poke,Grass,Physical,The user attacks the target by poking it with a sharply pointed branch.,40,100,40
Brave Bird,Flying,Physical,The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot.,120,100,15
Breaking Swipe,Dragon,Physical,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.,60,100,15
Brick Break,Fighting,Physical,"The user attacks with a swift chop. This move can also break barriers, such as Light Screen and Reflect.",75,100,15
Brine,Water,Special,This move’s power is doubled if the target’s HP is at half or less.,65,100,10
Brutal Swing,Dark,Physical,The user swings its body around violently to inflict damage on everything in its vicinity.,60,100,20
Bubble,Water,Special,A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat.,40,100,30
Bubble Beam,Water,Special,A spray of bubbles is forcefully ejected at the target. This may also lower the target’s Speed stat.,65,100,20
Bug Bite,Bug,Physical,"The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect.",60,100,20
Bug Buzz,Bug,Special,The user vibrates to generate a damaging sound wave. This may also lower the target’s Sp. Def stat.,90,100,10
Bulk Up,Fighting,Status,"The user tenses its muscles to bulk up its body, boosting its Attack and Defense stats.",,,20
Bulldoze,Ground,Physical,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.,60,100,20
Bullet Punch,Steel,Physical,The user strikes the target with tough punches as fast as bullets. This move always goes first.,40,100,30
Bullet Seed,Grass,Physical,The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row.,25,100,30
Burn Up,Fire,Special,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",130,100,5
Burning Jealousy,Fire,Special,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.,70,100,5
Buzzy Buzz,Electric,Special,The user shoots a jolt of electricity to attack the target. This also leaves the target with paralysis.,90,100,15
Calm Mind,Psychic,Status,The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats.,,,20
Camouflage,Normal,Status,"The user’s type is changed depending on its environment, such as at water’s edge, in grass, or in a cave.",,,20
Captivate,Normal,Status,"If any opposing Pokémon is the opposite gender of the user, it is charmed, which harshly lowers its Sp. Atk stat.",,100,20
Catastropika,Electric,Physical,"The user, Pikachu, surrounds itself with the maximum amount of electricity using its Z-Power and pounces on its target with full force.",210,,1
Ceaseless Edge,Dark,Physical,"The user slashes its shell blade at the target, aiming to land a critical hit. Shell splinters left behind by this attack remain scattered under the target as spikes.",65,90,15
Celebrate,Normal,Status,The Pokémon congratulates you on your special day!,,,40
Charge,Electric,Status,"The user becomes charged, boosting the power of the next Electric-type move it uses. This also boosts the user’s Sp. Def stat.",,,20
Charge Beam,Electric,Special,The user attacks the target with an electric charge. The residual electricity may also boost the user’s Sp. Atk stat.,50,90,10
Charm,Fairy,Status,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target’s Attack stat.",,100,20
Chatter,Flying,Special,The user attacks the target with sound waves of deafening chatter. This also confuses the target.,65,100,20
Chilling Water,Water,Special,The user attacks the target by showering it with water that’s so cold it saps the target’s power. This also lowers the target’s Attack stat.,50,100,20
Chilly Reception,Ice,Status,The user tells a chillingly bad joke before switching places with a party Pokémon in waiting. This summons a snowstorm lasting five turns.,,,10
Chip Away,Normal,Physical,"Looking for an opening, the user strikes consistently. The target’s stat changes don’t affect this attack’s damage.",70,100,20
Chloroblast,Grass,Special,The user launches its amassed chlorophyll to inflict damage on the target. This also damages the user.,150,95,5
Circle Throw,Fighting,Physical,"The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",60,90,10
Clamp,Water,Physical,The target is clamped and squeezed by the user’s very thick and sturdy shell for four to five turns.,35,85,15
Clanging Scales,Dragon,Special,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user’s Defense stat is lowered after the attack.,110,100,5
Clangorous Soul,Dragon,Status,The user boosts all its stats by using some of its own HP.,,100,5
Clangorous Soulblaze,Dragon,Special,"After obtaining Z-Power, the user, Kommo-o, attacks the opposing Pokémon with full force. This move boosts the user’s stats.",185,,1
Clear Smog,Poison,Special,The user attacks the target by throwing a clump of special mud. All stat changes are eliminated.,50,,15
Close Combat,Fighting,Physical,"The user fights the target up close, inflicting damage without guarding itself. This also lowers the user’s Defense and Sp. Def stats.",120,100,5
Coaching,Fighting,Status,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats.",,,10
Coil,Poison,Status,The user coils up and concentrates. This boosts its Attack and Defense stats as well as its accuracy.,,,20
Collision Course,Fighting,Physical,"The user transforms and crashes to the ground, causing a massive prehistoric explosion. This move’s power is boosted more than usual if it’s a supereffective hit.",100,100,5
Combat Torque,Fighting,Physical,,100,100,10
Comet Punch,Normal,Physical,The target is hit with a flurry of punches that strike two to five times in a row.,18,85,15
Comeuppance,Dark,Physical,The user retaliates with much greater force against the opponent that last inflicted damage on it.,1,100,10
Confide,Normal,Status,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target’s Sp. Atk stat.",,,20
Confuse Ray,Ghost,Status,The target is exposed to a sinister ray that causes confusion.,,100,10
Confusion,Psychic,Special,The target is hit with a weak telekinetic force to inflict damage. This may also confuse the target.,50,100,25
Constrict,Normal,Physical,"The target is attacked with long, creeping tentacles, vines, or the like. This may also lower the target’s Speed stat.",10,100,35
Conversion,Normal,Status,The user changes its type to become the same type as the move at the top of the list of moves it knows.,,,30
Conversion 2,Normal,Status,The user changes its type to make itself resistant to the type of the move the target used last.,,,30
Copycat,Normal,Status,The user mimics the move used immediately before it. This move fails if no other move has been used yet.,,,20
Core Enforcer,Dragon,Special,"If the Pokémon damaged by this move have already used their moves that turn, this move eliminates the effects of those Pokémon’s Abilities.",100,100,10
Corrosive Gas,Poison,Status,The user surrounds everything around it with highly acidic gas and melts away items held by other Pokémon.,,100,40
Cosmic Power,Psychic,Status,The user absorbs a mystical power from space to boost its Defense and Sp. Def stats.,,,20
Cotton Guard,Grass,Status,"The user protects itself by wrapping its body in soft cotton, drastically boosting its Defense stat.",,,10
Cotton Spore,Grass,Status,The user releases cotton-like spores that cling to opposing Pokémon. This harshly lowers their Speed stats.,,100,40
Counter,Fighting,Physical,"A retaliatory attack that counters any physical move, inflicting double the damage taken.",,100,20
Court Change,Normal,Status,"With its mysterious power, the user swaps the effects on either side of the field.",,100,10
Covet,Normal,Physical,"The user endearingly approaches the target, then steals the target’s held item.",60,100,25
Crabhammer,Water,Physical,The target is hammered with a large pincer. This move has a heightened chance of landing a critical hit.,100,90,10
Crafty Shield,Fairy,Status,The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage.,,,10
Cross Chop,Fighting,Physical,The user delivers a double chop with its forearms crossed. This move has a heightened chance of landing a critical hit.,100,80,5
Cross Poison,Poison,Physical,A slashing attack with a poisonous blade that may also poison the target. This move has a heightened chance of landing a critical hit.,70,100,20
Crunch,Dark,Physical,The user crunches up the target with sharp fangs. This may also lower the target’s Defense stat.,80,100,15
Crush Claw,Normal,Physical,The user slashes the target with hard and sharp claws. This may also lower the target’s Defense stat.,75,95,10
Crush Grip,Normal,Physical,"The target is crushed with great force. The more HP the target has left, the greater the move’s power.",,100,5
Curse,Ghost,Status,A move that has different effects depending on whether the user is a Ghost type or not.,,,10
Cut,Normal,Physical,"The target is cut with a scythe, a claw, or the like to inflict damage.",50,95,30
Dark Pulse,Dark,Special,The user releases a horrible aura imbued with ill intent. This may also make the target flinch.,80,100,15
Dark Void,Dark,Status,Opposing Pokémon are dragged into a world of total darkness that puts them to sleep.,,50,10
Darkest Lariat,Dark,Physical,The user swings both arms and hits the target. The target’s stat changes don’t affect the damage inflicted by this move.,85,100,10
Dazzling Gleam,Fairy,Special,The user damages opposing Pokémon by emitting a powerful flash.,80,100,10
Decorate,Fairy,Status,The user sharply boosts the target’s Attack and Sp. Atk stats by decorating the target.,,,15
Defend Order,Bug,Status,"The user calls out its underlings to shield its body, boosting its Defense and Sp. Def stats.",,,10
Defense Curl,Normal,Status,The user curls up and boosts its Defense stat.,,,40
Defog,Flying,Status,A strong wind blows away the target’s barriers such as Reflect or Light Screen. This also lowers the target’s evasiveness.,,,15
Destiny Bond,Ghost,Status,"If the user is knocked out after using this move, the Pokémon that knocked it out will also faint. This move’s chance of failing rises if it is used in succession.",,,5
Detect,Fighting,Status,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.,,,5
Diamond Storm,Rock,Physical,The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply boost the user’s Defense stat.,100,95,5
Dig,Ground,Physical,"The user burrows into the ground on the first turn, then attacks on the next turn.",80,100,10
Dire Claw,Poison,Physical,"The user lashes out at the target with ruinous claws, aiming to land a critical hit. This may also leave the target poisoned, paralyzed, or asleep.",80,100,15
Disable,Normal,Status,"For four turns, the target will be unable to use whichever move it last used.",,100,20
Disarming Voice,Fairy,Special,"Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses.",40,,15
Discharge,Electric,Special,The user strikes everything around it by letting loose a flare of electricity. This may also leave those hit by the attack with paralysis.,80,100,15
Dive,Water,Physical,"The user dives on the first turn, then floats up and attacks on the next turn.",80,100,10
Dizzy Punch,Normal,Physical,The target is hit with rhythmically launched punches. This may also leave the target confused.,70,100,10
Doodle,Normal,Status,The user captures the very essence of the target in a sketch. This changes the Abilities of the user and its ally Pokémon to that of the target.,,100,10
Doom Desire,Steel,Special,"Two turns after this move is used, a concentrated bundle of light blasts the target.",140,100,5
Double Hit,Normal,Physical,The user slams the target with a tail or the like. The target is hit twice in a row.,35,90,10
Double Iron Bash,Steel,Physical,"The user uses the hex nut in its chest as an axis to spin, striking the target with its arms twice in a row. This may also make the target flinch.",60,100,5
Double Kick,Fighting,Physical,The user attacks by kicking the target twice in a row using two feet.,30,100,30
Double Shock,Electric,Physical,"The user discharges all the electricity from its body to perform a high-damage attack. After using this move, the user will no longer be Electric type.",120,100,5
Double Slap,Normal,Physical,"The target is slapped repeatedly, back and forth, two to five times in a row.",15,85,10
Double Team,Normal,Status,"By moving rapidly, the user makes illusory copies of itself to boost its evasiveness.",,,15
Double-Edge,Normal,Physical,A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot.,120,100,15
Draco Meteor,Dragon,Special,Comets are summoned down from the sky onto the target. The recoil from this move harshly lowers the user’s Sp. Atk stat.,130,90,5
Dragon Ascent,Flying,Physical,The user attacks the target by dropping out of the sky at high speed. This also lowers the user’s Defense and Sp. Def stats.,120,100,5
Dragon Breath,Dragon,Special,The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.,60,100,20
Dragon Claw,Dragon,Physical,"The user slashes the target with huge, sharp claws to inflict damage.",80,100,15
Dragon Dance,Dragon,Status,"The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats.",,,20
Dragon Darts,Dragon,Physical,"The user attacks twice using Dreepy. If there are two opposing Pokémon, this move hits each of them once.",50,100,10
Dragon Energy,Dragon,Special,"Converting its life-force into power, the user attacks opposing Pokémon. The lower the user’s HP, the lower the move’s power.",150,100,5
Dragon Hammer,Dragon,Physical,The user uses its body like a hammer to attack the target and inflict damage.,90,100,15
Dragon Pulse,Dragon,Special,The target is attacked with a shock wave generated by the user’s gaping mouth.,85,100,10
Dragon Rage,Dragon,Special,This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.,,100,10
Dragon Rush,Dragon,Physical,The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.,100,75,10
Dragon Tail,Dragon,Physical,"The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",60,90,10
Drain Punch,Fighting,Physical,The user attacks with an energy-draining punch. The user’s HP is restored by up to half the damage taken by the target.,75,100,10
Draining Kiss,Fairy,Special,The user steals the target’s HP with a kiss. The user’s HP is restored by over half the damage taken by the target.,50,100,10
Dream Eater,Psychic,Special,The user eats the dreams of a sleeping target. The user’s HP is restored by up to half the damage taken by the target.,100,100,15
Drill Peck,Flying,Physical,A corkscrewing attack that strikes the target with a sharp beak acting as a drill.,80,100,20
Drill Run,Ground,Physical,The user crashes into the target while rotating its body like a drill. This move has a heightened chance of landing a critical hit.,80,95,10
Drum Beating,Grass,Physical,"The user plays its drum, controlling the drum’s roots to attack the target. This also lowers the target’s Speed stat.",80,100,10
Dual Chop,Dragon,Physical,The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.,40,90,15
Dual Wingbeat,Flying,Physical,The user slams the target with its wings to inflict damage. The target is hit twice in a row.,40,90,10
Dynamax Cannon,Dragon,Special,The user condenses energy within its body and unleashes that energy from its core to inflict damage.,100,100,5
Dynamic Punch,Fighting,Physical,The user attacks by punching the target with full concentrated power. This also confuses the target.,100,50,5
Earth Power,Ground,Special,The user makes the ground under the target erupt with power. This may also lower the target’s Sp. Def stat.,90,100,10
Earthquake,Ground,Physical,The user sets off an earthquake that strikes every Pokémon around it.,100,100,10
Echoed Voice,Normal,Special,"The user attacks the target with an echoing voice. If this move is used consecutively by any Pokémon, its power is boosted.",40,100,15
Eerie Impulse,Electric,Status,The user’s body generates an eerie impulse. Exposing the target to it harshly lowers the target’s Sp. Atk stat.,,100,15
Eerie Spell,Psychic,Special,The user attacks with its tremendous psychic power. This also drains 3 PP from the move last used by the target.,80,100,5
Egg Bomb,Normal,Physical,A large egg is hurled at the target with maximum force to inflict damage.,100,75,10
Electric Terrain,Electric,Status,"The user turns the ground into Electric Terrain for five turns, powering up Electric-type moves. Pokémon on the ground can no longer fall asleep.",,,10
Electrify,Electric,Status,"If the target is electrified before it uses a move, the target’s move becomes Electric type for that turn.",,,20
Electro Ball,Electric,Special,"The user hurls an electric orb at the target. The faster the user is than the target, the greater the move’s power.",,100,10
Electro Drift,Electric,Special,"The user races forward at ultrafast speeds, piercing its target with futuristic electricity. This move’s power is boosted more than usual if it’s a supereffective hit.",100,100,5
Electroweb,Electric,Special,The user captures opposing Pokémon in an electric net to inflict damage. This also lowers their Speed stats.,55,95,15
Embargo,Dark,Status,This move prevents the target from using its held item for five turns. Its Trainer is also prevented from using items on it.,,100,15
Ember,Fire,Special,The target is attacked with small flames. This may also leave the target with a burn.,40,100,25
Encore,Normal,Status,The user compels the target to keep using the move it encored for three turns.,,100,5
Endeavor,Normal,Physical,The user inflicts damage by cutting down the target’s HP to roughly equal the user’s HP.,,100,5
Endure,Normal,Status,The user endures any attack with at least 1 HP. This move’s chance of failing rises if used in succession.,,,10
Energy Ball,Grass,Special,The user draws power from nature and fires it at the target. This may also lower the target’s Sp. Def stat.,90,100,10
Entrainment,Normal,Status,"The user dances with an odd rhythm that compels the target to mimic it, making the target’s Ability the same as the user’s.",,100,15
Eruption,Fire,Special,"The user attacks opposing Pokémon with explosive fury. The lower the user’s HP, the lower the move’s power.",150,100,5
Esper Wing,Psychic,Special,The user slashes the target with aura-enriched wings. This also boosts the user’s Speed stat. This move has a heightened chance of landing a critical hit.,80,100,10
Eternabeam,Dragon,Special,This is Eternatus’s most powerful attack in its original form. The user can’t move on the next turn.,160,90,5
Expanding Force,Psychic,Special,"The user attacks the target with its psychic power. When the ground is Psychic Terrain, this move’s power is boosted and it damages all opposing Pokémon.",80,100,10
Explosion,Normal,Physical,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.,250,100,5
Extrasensory,Psychic,Special,"The user attacks with an odd, unseeable power. This may also make the target flinch.",80,100,20
Extreme Evoboost,Normal,Status,"After obtaining Z-Power, the user, Eevee, gets energy from its evolved friends and boosts its stats sharply.",,,1
Extreme Speed,Normal,Physical,The user charges the target at blinding speed. This move always goes first.,80,100,5
Facade,Normal,Physical,"This move’s power is doubled if the user is poisoned, burned, or paralyzed.",70,100,20
Fairy Lock,Fairy,Status,"By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn.",,,10
Fairy Wind,Fairy,Special,The user attacks by stirring up a fairy wind to strike the target.,40,100,30
Fake Out,Normal,Physical,This attack hits first and makes the target flinch. It works only on the first turn each time the user enters battle.,40,100,10
Fake Tears,Dark,Status,The user feigns crying to fluster the target. This harshly lowers the target’s Sp. Def stat.,,100,20
False Surrender,Dark,Physical,"The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses.",80,,10
False Swipe,Normal,Physical,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.,40,100,40
Feather Dance,Flying,Status,The user covers the target’s body with a mass of down that harshly lowers its Attack stat.,,100,15
Feint,Normal,Physical,This attack can hit a target using a move such as Protect or Detect. This also lifts the effects of those moves.,30,100,10
Feint Attack,Dark,Physical,"The user approaches the target disarmingly, then throws a sucker punch. This attack never misses.",60,,20
Fell Stinger,Bug,Physical,"When the user knocks out a target with this move, the user’s Attack stat is boosted drastically.",50,100,25
Fiery Dance,Fire,Special,"Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also boost the user’s Sp. Atk stat.",80,100,10
Fiery Wrath,Dark,Special,The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch.,90,100,10
Fillet Away,Normal,Status,"The user sharply boosts its Attack, Sp. Atk, and Speed stats by using its own HP.",,,10
Final Gambit,Fighting,Special,The user risks everything to attack the target. The user faints but inflicts damage equal to its own HP.,,100,5
Fire Blast,Fire,Special,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.,110,85,5
Fire Fang,Fire,Physical,The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.,65,95,15
Fire Lash,Fire,Physical,The user strikes the target with a burning lash. This also lowers the target’s Defense stat.,80,100,15
Fire Pledge,Fire,Special,"A column of fire hits the target. When used with its grass counterpart, this move’s power is boosted and a vast sea of fire appears.",80,100,10
Fire Punch,Fire,Physical,The target is attacked with a fiery punch. This may also leave the target with a burn.,75,100,15
Fire Spin,Fire,Special,The user traps the target inside a fierce vortex of fire that inflicts damage for four to five turns.,35,85,15
First Impression,Bug,Physical,"Although this move has great power, it works only on the first turn each time the user enters battle.",90,100,10
Fishious Rend,Water,Physical,The user rends the target with its hard gills. This move’s power is doubled if the user moves before the target.,85,100,10
Fissure,Ground,Physical,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.,,30,5
Flail,Normal,Physical,"The user flails about aimlessly to attack. The less HP the user has, the greater the move’s power.",,100,15
Flame Burst,Fire,Special,The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.,70,100,15
Flame Charge,Fire,Physical,"Cloaking itself in flame, the user attacks the target. Then, building up momentum, the user boosts its Speed stat.",50,100,20
Flame Wheel,Fire,Physical,The user attacks by cloaking itself in fire and charging at the target. This may also leave the target with a burn.,60,100,25
Flamethrower,Fire,Special,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,90,100,15
Flare Blitz,Fire,Physical,The user cloaks itself in fire and charges the target to inflict damage. This also damages the user quite a lot and may leave the target with a burn.,120,100,15
Flash,Normal,Status,The user flashes a light that lowers the target’s accuracy. It can also be used to illuminate caves.,,100,20
Flash Cannon,Steel,Special,The user gathers all its light energy and releases it at once. This may also lower the target’s Sp. Def stat.,80,100,10
Flatter,Dark,Status,"Flattery is used to confuse the target. However, this also boosts the target’s Sp. Atk stat.",,100,15
Fleur Cannon,Fairy,Special,The user unleashes a strong beam. The recoil from this move harshly lowers the user’s Sp. Atk stat.,130,90,5
