name,form,unique_name,ndex,galar_dex,ioa_dex,ct_dex,paldea_dex,tm_dex,type1,type2,hp,atk,def,spa,spd,spe,egg_group1,egg_group2,gender_ratio,ability1,ability2,hidden_ability,egg_cycles,url
Venonat,,venonat,48,,,,256,,Bug,Poison,60,55,50,40,55,45,Bug,,Equal,Compound Eyes,Tinted Lens,Run Away,20,https://pokemondb.net/pokedex/venonat
Venomoth,,venomoth,49,,,,257,,Bug,Poison,70,65,60,90,75,90,Bug,,Equal,Shield Dust,Tinted Lens,Wonder Skin,20,https://pokemondb.net/pokedex/venomoth
Diglett,,diglett,50,164,,,148,,Ground,,10,55,25,35,45,95,Field,,Equal,Sand Veil,Arena Trap,Sand Force,20,https://pokemondb.net/pokedex/diglett
Diglett,Alolan Diglett,diglett-alola,50,164,,,148,,Ground,Steel,10,55,30,35,45,90,Field,,Equal,Sand Veil,Tangling Hair,Sand Force,20,https://pokemondb.net/pokedex/diglett
Dugtrio,,dugtrio,51,165,,,149,,Ground,,35,100,50,50,70,120,Field,,Equal,Sand Veil,Arena Trap,Sand Force,20,https://pokemondb.net/pokedex/dugtrio
Dugtrio,Alolan Dugtrio,dugtrio-alola,51,165,,,149,,Ground,Steel,35,100,60,50,70,110,Field,,Equal,Sand Veil,Tangling Hair,Sand Force,20,https://pokemondb.net/pokedex/dugtrio
Meowth,,meowth,52,182,,,141,,Normal,,40,45,35,40,40,90,Field,,Equal,Pickup,Technician,Unnerve,20,https://pokemondb.net/pokedex/meowth
Meowth,Alolan Meowth,meowth-alola,52,182,,,141,,Dark,,40,35,35,50,40,90,Field,,Equal,Pickup,Technician,Rattled,20,https://pokemondb.net/pokedex/meowth
Meowth,Galarian Meowth,meowth-galar,52,182,,,141,,Steel,,50,65,55,40,40,40,Field,,Equal,Pickup,Tough Claws,Unnerve,20,https://pokemondb.net/pokedex/meowth
Persian,,persian,53,184,,,142,,Normal,,65,70,60,65,65,115,Field,,Equal,Limber,Technician,Unnerve,20,https://pokemondb.net/pokedex/persian
Persian,Alolan Persian,persian-alola,53,184,,,142,,Dark,,65,60,60,75,65,115,Field,,Equal,Fur Coat,Technician,Rattled,20,https://pokemondb.net/pokedex/persian
Psyduck,,psyduck,54,,146,,55,,Water,,50,52,48,65,50,55,Field,Water 1,Equal,Damp,Cloud Nine,Swift Swim,20,https://pokemondb.net/pokedex/psyduck
Golduck,,golduck,55,,147,,56,,Water,,80,82,78,95,80,85,Field,Water 1,Equal,Damp,Cloud Nine,Swift Swim,20,https://pokemondb.net/pokedex/golduck
Mankey,,mankey,56,,,,158,99,Fighting,,40,80,35,35,45,70,Field,,Equal,Vital Spirit,Anger Point,Defiant,20,https://pokemondb.net/pokedex/mankey
Primeape,,primeape,57,,,,159,100,Fighting,,65,105,60,60,70,95,Field,,Equal,Vital Spirit,Anger Point,Defiant,20,https://pokemondb.net/pokedex/primeape
Growlithe,,growlithe,58,70,,,213,78,Fire,,55,70,45,70,50,60,Field,,Male 3:1,Intimidate,Flash Fire,Justified,20,https://pokemondb.net/pokedex/growlithe
Growlithe,Hisuian Growlithe,growlithe-hisui,58,70,,,213,78,Fire,Rock,60,75,45,65,50,55,Field,,Male 3:1,Intimidate,Flash Fire,Rock Head,20,https://pokemondb.net/pokedex/growlithe
Arcanine,,arcanine,59,71,,,214,79,Fire,,90,110,80,100,80,95,Field,,Male 3:1,Intimidate,Flash Fire,Justified,20,https://pokemondb.net/pokedex/arcanine
Arcanine,Hisuian Arcanine,arcanine-hisui,59,71,,,214,79,Fire,Rock,95,115,80,95,80,90,Field,,Male 3:1,Intimidate,Flash Fire,Rock Head,20,https://pokemondb.net/pokedex/arcanine
Poliwag,,poliwag,60,,142,,,39,Water,,40,50,40,40,40,90,Water 1,,Equal,Water Absorb,Damp,Swift Swim,20,https://pokemondb.net/pokedex/poliwag
Poliwhirl,,poliwhirl,61,,143,,,40,Water,,65,65,65,50,50,90,Water 1,,Equal,Water Absorb,Damp,Swift Swim,20,https://pokemondb.net/pokedex/poliwhirl
Poliwrath,,poliwrath,62,,144,,,41,Water,Fighting,90,95,95,70,90,70,Water 1,,Equal,Water Absorb,Damp,Swift Swim,20,https://pokemondb.net/pokedex/poliwrath
Abra,,abra,63,,31,,,,Psychic,,25,20,15,105,55,90,Human-Like,,Male 3:1,Synchronize,Inner Focus,Magic Guard,20,https://pokemondb.net/pokedex/abra
Kadabra,,kadabra,64,,32,,,,Psychic,,40,35,30,120,70,105,Human-Like,,Male 3:1,Synchronize,Inner Focus,Magic Guard,20,https://pokemondb.net/pokedex/kadabra
Alakazam,,alakazam,65,,33,,,,Psychic,,55,50,45,135,95,120,Human-Like,,Male 3:1,Synchronize,Inner Focus,Magic Guard,20,https://pokemondb.net/pokedex/alakazam
Machop,,machop,66,138,,,,,Fighting,,70,80,50,35,35,35,Human-Like,,Male 3:1,Guts,No Guard,Steadfast,20,https://pokemondb.net/pokedex/machop
Machoke,,machoke,67,139,,,,,Fighting,,80,100,70,50,60,45,Human-Like,,Male 3:1,Guts,No Guard,Steadfast,20,https://pokemondb.net/pokedex/machoke
Machamp,,machamp,68,140,,,,,Fighting,,90,130,80,65,85,55,Human-Like,,Male 3:1,Guts,No Guard,Steadfast,20,https://pokemondb.net/pokedex/machamp
Bellsprout,,bellsprout,69,,,,,23,Grass,Poison,50,75,35,70,30,40,Grass,,Equal,Chlorophyll,,Gluttony,20,https://pokemondb.net/pokedex/bellsprout
Weepinbell,,weepinbell,70,,,,,24,Grass,Poison,65,90,50,85,45,55,Grass,,Equal,Chlorophyll,,Gluttony,20,https://pokemondb.net/pokedex/weepinbell
Victreebel,,victreebel,71,,,,,25,Grass,Poison,80,105,65,100,70,70,Grass,,Equal,Chlorophyll,,Gluttony,20,https://pokemondb.net/pokedex/victreebel
Tentacool,,tentacool,72,,40,,,,Water,Poison,40,40,35,50,100,70,Water 3,,Equal,Clear Body,Liquid Ooze,Rain Dish,20,https://pokemondb.net/pokedex/tentacool
Tentacruel,,tentacruel,73,,41,,,,Water,Poison,80,70,65,80,120,100,Water 3,,Equal,Clear Body,Liquid Ooze,Rain Dish,20,https://pokemondb.net/pokedex/tentacruel
Geodude,,geodude,74,,,,,80,Rock,Ground,40,80,100,30,30,20,Mineral,,Equal,Rock Head,Sturdy,Sand Veil,15,https://pokemondb.net/pokedex/geodude
Geodude,Alolan Geodude,geodude-alola,74,,,,,80,Rock,Electric,40,80,100,30,30,20,Mineral,,Equal,Magnet Pull,Sturdy,Galvanize,15,https://pokemondb.net/pokedex/geodude
Graveler,,graveler,75,,,,,81,Rock,Ground,55,95,115,45,45,35,Mineral,,Equal,Rock Head,Sturdy,Sand Veil,15,https://pokemondb.net/pokedex/graveler
Graveler,Alolan Graveler,graveler-alola,75,,,,,81,Rock,Electric,55,95,115,45,45,35,Mineral,,Equal,Magnet Pull,Sturdy,Galvanize,15,https://pokemondb.net/pokedex/graveler
Golem,,golem,76,,,,,82,Rock,Ground,80,120,130,55,65,45,Mineral,,Equal,Rock Head,Sturdy,Sand Veil,15,https://pokemondb.net/pokedex/golem
Golem,Alolan Golem,golem-alola,76,,,,,82,Rock,Electric,80,120,130,55,65,45,Mineral,,Equal,Magnet Pull,Sturdy,Galvanize,15,https://pokemondb.net/pokedex/golem
Ponyta,,ponyta,77,333,,105,,,Fire,,50,85,55,65,65,90,Field,,Equal,Run Away,Flash Fire,Flame Body,20,https://pokemondb.net/pokedex/ponyta
Ponyta,Galarian Ponyta,ponyta-galar,77,333,,105,,,Psychic,,50,85,55,65,65,90,Field,,Equal,Run Away,Pastel Veil,Anticipation,20,https://pokemondb.net/pokedex/ponyta
Rapidash,,rapidash,78,334,,106,,,Fire,,65,100,70,80,80,105,Field,,Equal,Run Away,Flash Fire,Flame Body,20,https://pokemondb.net/pokedex/rapidash
Rapidash,Galarian Rapidash,rapidash-galar,78,334,,106,,,Psychic,Fairy,65,100,70,80,80,105,Field,,Equal,Run Away,Pastel Veil,Anticipation,20,https://pokemondb.net/pokedex/rapidash
Slowpoke,,slowpoke,79,,1,,324,,Water,Psychic,90,65,65,40,40,15,Monster,Water 1,Equal,Oblivious,Own Tempo,Regenerator,20,https://pokemondb.net/pokedex/slowpoke
Slowpoke,Galarian Slowpoke,slowpoke-galar,79,,1,,324,,Psychic,,90,65,65,40,40,15,Monster,Water 1,Equal,Gluttony,Own Tempo,Regenerator,20,https://pokemondb.net/pokedex/slowpoke
Slowbro,,slowbro,80,,2,,325,,Water,Psychic,95,75,110,100,80,30,Monster,Water 1,Equal,Oblivious,Own Tempo,Regenerator,20,https://pokemondb.net/pokedex/slowbro
Slowbro,Galarian Slowbro,slowbro-galar,80,,2,,325,,Poison,Psychic,95,100,95,100,70,30,Monster,Water 1,Equal,Quick Draw,Own Tempo,Regenerator,20,https://pokemondb.net/pokedex/slowbro
Magnemite,,magnemite,81,,105,,209,,Electric,Steel,25,35,70,95,55,45,Mineral,,Genderless,Magnet Pull,Sturdy,Analytic,20,https://pokemondb.net/pokedex/magnemite
Magneton,,magneton,82,,106,,210,,Electric,Steel,50,60,95,120,70,70,Mineral,,Genderless,Magnet Pull,Sturdy,Analytic,20,https://pokemondb.net/pokedex/magneton
Farfetch'd,,farfetchd,83,218,,,,,Normal,Flying,52,90,55,58,62,60,Field,Flying,Equal,Keen Eye,Inner Focus,Defiant,20,https://pokemondb.net/pokedex/farfetchd
Farfetch'd,Galarian Farfetch'd,farfetchd-galar,83,218,,,,,Fighting,,52,95,55,58,62,55,Field,Flying,Equal,Steadfast,,Scrappy,20,https://pokemondb.net/pokedex/farfetchd
Doduo,,doduo,84,,,,,,Normal,Flying,35,85,45,35,35,75,Flying,,Equal,Run Away,Early Bird,Tangled Feet,20,https://pokemondb.net/pokedex/doduo
Dodrio,,dodrio,85,,,,,,Normal,Flying,60,110,70,60,60,110,Flying,,Equal,Run Away,Early Bird,Tangled Feet,20,https://pokemondb.net/pokedex/dodrio
Seel,,seel,86,,,,,,Water,,65,45,55,45,70,45,Field,Water 1,Equal,Thick Fat,Hydration,Ice Body,20,https://pokemondb.net/pokedex/seel
Dewgong,,dewgong,87,,,,,,Water,Ice,90,70,80,70,95,70,Field,Water 1,Equal,Thick Fat,Hydration,Ice Body,20,https://pokemondb.net/pokedex/dewgong
Grimer,,grimer,88,,,,194,,Poison,,80,80,50,40,50,25,Amorphous,,Equal,Stench,Sticky Hold,Poison Touch,20,https://pokemondb.net/pokedex/grimer
Grimer,Alolan Grimer,grimer-alola,88,,,,194,,Poison,Dark,80,80,50,40,50,25,Amorphous,,Equal,Poison Touch,Gluttony,Power of Alchemy,20,https://pokemondb.net/pokedex/grimer
Muk,,muk,89,,,,195,,Poison,,105,105,75,65,100,50,Amorphous,,Equal,Stench,Sticky Hold,Poison Touch,20,https://pokemondb.net/pokedex/muk
Muk,Alolan Muk,muk-alola,89,,,,195,,Poison,Dark,105,105,75,65,100,50,Amorphous,,Equal,Poison Touch,Gluttony,Power of Alchemy,20,https://pokemondb.net/pokedex/muk
Shellder,,shellder,90,150,131,,329,,Water,,30,65,100,45,25,40,Water 3,,Equal,Shell Armor,Skill Link,Overcoat,20,https://pokemondb.net/pokedex/shellder
Cloyster,,cloyster,91,151,132,,330,,Water,Ice,50,95,180,85,45,70,Water 3,,Equal,Shell Armor,Skill Link,Overcoat,20,https://pokemondb.net/pokedex/cloyster
Gastly,,gastly,92,141,,,68,118,Ghost,Poison,30,35,30,100,35,80,Amorphous,,Equal,Levitate,,,20,https://pokemondb.net/pokedex/gastly
Haunter,,haunter,93,142,,,69,119,Ghost,Poison,45,50,45,115,55,95,Amorphous,,Equal,Levitate,,,20,https://pokemondb.net/pokedex/haunter
Gengar,,gengar,94,143,,,70,120,Ghost,Poison,60,65,60,130,75,110,Amorphous,,Equal,Cursed Body,,,20,https://pokemondb.net/pokedex/gengar
Onix,,onix,95,178,,,,,Rock,Ground,35,45,160,30,45,70,Mineral,,Equal,Rock Head,Sturdy,Weak Armor,25,https://pokemondb.net/pokedex/onix
Drowzee,,drowzee,96,,,,66,,Psychic,,60,48,45,43,90,42,Human-Like,,Equal,Insomnia,Forewarn,Inner Focus,20,https://pokemondb.net/pokedex/drowzee
Hypno,,hypno,97,,,,67,,Psychic,,85,73,70,73,115,67,Human-Like,,Equal,Insomnia,Forewarn,Inner Focus,20,https://pokemondb.net/pokedex/hypno
Krabby,,krabby,98,98,38,,,,Water,,30,105,90,25,25,50,Water 3,,Equal,Hyper Cutter,Shell Armor,Sheer Force,20,https://pokemondb.net/pokedex/krabby
Kingler,,kingler,99,99,39,,,,Water,,55,130,115,50,50,75,Water 3,,Equal,Hyper Cutter,Shell Armor,Sheer Force,20,https://pokemondb.net/pokedex/kingler
Voltorb,,voltorb,100,,,,207,,Electric,,40,30,50,55,55,100,Mineral,,Genderless,Soundproof,Static,Aftermath,20,https://pokemondb.net/pokedex/voltorb
Voltorb,Hisuian Voltorb,voltorb-hisui,100,,,,207,,Electric,Grass,40,30,50,55,55,100,Mineral,,Genderless,Soundproof,Static,Aftermath,20,https://pokemondb.net/pokedex/voltorb
Electrode,,electrode,101,,,,208,,Electric,,60,50,70,80,80,150,Mineral,,Genderless,Soundproof,Static,Aftermath,20,https://pokemondb.net/pokedex/electrode
Electrode,Hisuian Electrode,electrode-hisui,101,,,,208,,Electric,Grass,60,50,70,80,80,150,Mineral,,Genderless,Soundproof,Static,Aftermath,20,https://pokemondb.net/pokedex/electrode
Exeggcute,,exeggcute,102,,205,,,,Grass,Psychic,60,40,80,60,45,40,Grass,,Equal,Chlorophyll,,Harvest,20,https://pokemondb.net/pokedex/exeggcute
Exeggutor,,exeggutor,103,,206,,,,Grass,Psychic,95,95,85,125,75,55,Grass,,Equal,Chlorophyll,,Harvest,20,https://pokemondb.net/pokedex/exeggutor
Exeggutor,Alolan Exeggutor,exeggutor-alola,103,,206,,,,Grass,Dragon,95,105,85,125,75,45,Grass,,Equal,Frisk,,Harvest,20,https://pokemondb.net/pokedex/exeggutor
Cubone,,cubone,104,,170,,,,Ground,,50,50,95,40,50,35,Monster,,Equal,Rock Head,Lightning Rod,Battle Armor,20,https://pokemondb.net/pokedex/cubone
Marowak,,marowak,105,,171,,,,Ground,,60,80,110,50,80,45,Monster,,Equal,Rock Head,Lightning Rod,Battle Armor,20,https://pokemondb.net/pokedex/marowak
Marowak,Alolan Marowak,marowak-alola,105,,171,,,,Fire,Ghost,60,80,110,50,80,45,Monster,,Equal,Cursed Body,Lightning Rod,Rock Head,20,https://pokemondb.net/pokedex/marowak
Hitmonlee,,hitmonlee,106,108,,,,,Fighting,,50,120,53,35,110,87,Human-Like,,Male only,Limber,Reckless,Unburden,25,https://pokemondb.net/pokedex/hitmonlee
Hitmonchan,,hitmonchan,107,109,,,,,Fighting,,50,105,79,35,110,76,Human-Like,,Male only,Keen Eye,Iron Fist,Inner Focus,25,https://pokemondb.net/pokedex/hitmonchan
Lickitung,,lickitung,108,,54,,,,Normal,,90,55,75,60,75,30,Monster,,Equal,Own Tempo,Oblivious,Cloud Nine,20,https://pokemondb.net/pokedex/lickitung
Koffing,,koffing,109,250,,,,135,Poison,,40,65,95,60,45,35,Amorphous,,Equal,Levitate,Neutralizing Gas,Stench,20,https://pokemondb.net/pokedex/koffing
Weezing,,weezing,110,251,,,,136,Poison,,65,90,120,85,70,60,Amorphous,,Equal,Levitate,Neutralizing Gas,Stench,20,https://pokemondb.net/pokedex/weezing
Weezing,Galarian Weezing,weezing-galar,110,251,,,,136,Poison,Fairy,65,90,120,85,70,60,Amorphous,,Equal,Levitate,Neutralizing Gas,Misty Surge,20,https://pokemondb.net/pokedex/weezing
Rhyhorn,,rhyhorn,111,264,183,,,,Ground,Rock,80,85,95,30,30,25,Field,Monster,Equal,Lightning Rod,Rock Head,Reckless,20,https://pokemondb.net/pokedex/rhyhorn
Rhydon,,rhydon,112,265,184,,,,Ground,Rock,105,130,120,45,45,40,Field,Monster,Equal,Lightning Rod,Rock Head,Reckless,20,https://pokemondb.net/pokedex/rhydon
Chansey,,chansey,113,,7,,44,,Normal,,250,5,5,35,105,50,Fairy,,Female only,Natural Cure,Serene Grace,Healer,40,https://pokemondb.net/pokedex/chansey
Tangela,,tangela,114,,80,,,,Grass,,65,55,115,100,40,60,Grass,,Equal,Chlorophyll,Leaf Guard,Regenerator,20,https://pokemondb.net/pokedex/tangela
Kangaskhan,,kangaskhan,115,,172,,,,Normal,,105,95,80,40,80,90,Monster,,Female only,Early Bird,Scrappy,Inner Focus,20,https://pokemondb.net/pokedex/kangaskhan
Horsea,,horsea,116,,198,,,,Water,,30,40,70,70,25,60,Dragon,Water 1,Equal,Swift Swim,Sniper,Damp,20,https://pokemondb.net/pokedex/horsea
Seadra,,seadra,117,,199,,,,Water,,55,65,95,95,45,85,Dragon,Water 1,Equal,Poison Point,Sniper,Damp,20,https://pokemondb.net/pokedex/seadra
Goldeen,,goldeen,118,146,94,,,,Water,,45,67,60,35,50,63,Water 2,,Equal,Swift Swim,Water Veil,Lightning Rod,20,https://pokemondb.net/pokedex/goldeen
Seaking,,seaking,119,147,95,,,,Water,,80,92,65,65,80,68,Water 2,,Equal,Swift Swim,Water Veil,Lightning Rod,20,https://pokemondb.net/pokedex/seaking
Staryu,,staryu,120,,98,,,,Water,,30,45,55,70,55,85,Water 3,,Genderless,Illuminate,Natural Cure,Analytic,20,https://pokemondb.net/pokedex/staryu
Starmie,,starmie,121,,99,,,,Water,Psychic,60,75,85,100,85,115,Water 3,,Genderless,Illuminate,Natural Cure,Analytic,20,https://pokemondb.net/pokedex/starmie
Mr. Mime,,mr-mime,122,365,,11,,,Psychic,Fairy,40,45,65,100,120,90,Human-Like,,Equal,Soundproof,Filter,Technician,25,https://pokemondb.net/pokedex/mr-mime
Mr. Mime,Galarian Mr. Mime,mr-mime-galar,122,365,,11,,,Ice,Psychic,50,65,65,90,90,100,Human-Like,,Equal,Vital Spirit,Screen Cleaner,Ice Body,25,https://pokemondb.net/pokedex/mr-mime
